signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
EEM_MeanReversion_D1_1,EEM,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,46.32,45.87,47.22,2025-05-30 04:00:00+00:00,45.87,SL hit,loss,-1.0,1.0,46.32,0.45,0.0
IEMG_MeanReversion_D1_1,IEMG,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,57.615,57.11,58.625,2025-05-30 04:00:00+00:00,57.11,SL hit,loss,-1.0,1.0,57.615,0.505,0.0
XBI_TwoDayBreakout_D1_2,XBI,TwoDayBreakout_D1,2025-05-29T00:00:00-04:00,2025-05-30 04:00:00+00:00,79.79,78.7,81.97,2025-05-30 04:00:00+00:00,78.7,SL hit,loss,-1.0,1.0,79.79,1.09,0.0
XLU_PrevDayBreakout_D1_3,XLU,PrevDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,81.61,80.22,84.39,2025-06-06 04:00:00+00:00,81.17,time stop loss,loss,-0.3165,1.0,81.61,1.39,0.0
XLP_TwoDayBreakout_D1_3,XLP,TwoDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,82.615,81.41,85.025,2025-06-05 04:00:00+00:00,81.41,SL hit,loss,-1.0,1.0,82.615,1.205,-0.25
EEM_MeanReversion_D1_3,EEM,MeanReversion_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,45.69,45.24,46.59,2025-06-05 04:00:00+00:00,46.59,TP hit,win,2.0,1.0,45.69,0.45,-1.0
SMH_PrevDayBreakout_D1_6,SMH,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,254.4,242.68,277.84,2025-06-11 04:00:00+00:00,261.79,time stop win,win,0.6305,1.0,254.4,11.72,-0.25
XAR_TwoDayBreakout_D1_6,XAR,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,195.415,191.09,204.065,2025-06-11 04:00:00+00:00,198.89,time stop win,win,0.8035,1.0,195.415,4.325,-0.25
IEMG_PrevDayBreakout_D1_7,IEMG,PrevDayBreakout_D1,2025-06-05T00:00:00-04:00,2025-06-06 04:00:00+00:00,58.295,57.77,59.345,2025-06-11 04:00:00+00:00,59.345,TP hit,win,2.0,1.0,58.295,0.525,1.25
EEM_PrevDayBreakout_D1_10,EEM,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,47.83,47.115,49.26,2025-06-13 04:00:00+00:00,47.115,SL hit,loss,-1.0,1.0,47.83,0.715,1.336243
IEMG_PrevDayBreakout_D1_10,IEMG,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,59.605,58.72,61.375,2025-06-13 04:00:00+00:00,58.72,SL hit,loss,-1.0,1.0,59.605,0.885,1.325008
SMH_PrevDayBreakout_D1_10,SMH,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,263.15,255.0,279.45,2025-06-17 04:00:00+00:00,261.64,time stop loss,loss,-0.1853,1.0,263.15,8.15,1.272248
XLV_PrevDayBreakout_D1_12,XLV,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,136.055,135.345,137.475,2025-06-16 04:00:00+00:00,135.345,SL hit,loss,-1.0,1.0,136.055,0.71,0.95892
XME_PrevDayBreakout_D1_12,XME,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,64.28,63.76,65.32,2025-06-13 04:00:00+00:00,65.32,TP hit,win,2.0,1.0,64.28,0.52,0.279899
IWD_MeanReversion_D1_13,IWD,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,190.405,189.41,192.395,2025-06-17 04:00:00+00:00,189.41,SL hit,loss,-1.0,1.0,190.405,0.995,0.538083
IEMG_MeanReversion_D1_13,IEMG,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,58.735,58.575,59.055,2025-06-17 04:00:00+00:00,58.575,SL hit,loss,-1.0,1.0,58.735,0.16,0.504274
SMH_PrevDayBreakout_D1_14,SMH,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,262.08,256.2,273.84,2025-06-24 04:00:00+00:00,271.58,time stop win,win,1.6156,1.0,262.08,5.88,0.807048
XME_PrevDayBreakout_D1_14,XME,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,66.465,64.28,70.835,2025-06-24 04:00:00+00:00,65.98,time stop loss,loss,-0.222,1.0,66.465,2.185,0.447521
XME_TwoDayBreakout_D1_14,XME,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,66.465,63.79,71.815,2025-06-24 04:00:00+00:00,65.98,time stop loss,loss,-0.1813,1.0,66.465,2.675,0.358634
XAR_TwoDayBreakout_D1_18,XAR,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,200.39,196.8,207.57,2025-06-27 04:00:00+00:00,207.57,TP hit,win,2.0,1.0,200.39,3.59,0.102792
XLV_MeanReversion_D1_18,XLV,MeanReversion_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,132.53,130.99,135.61,2025-06-30 04:00:00+00:00,134.76,time stop win,win,1.4481,1.0,132.53,1.54,-0.034468
IWM_PrevDayBreakout_D1_18,IWM,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24 04:00:00+00:00,213.32,208.47,223.02,2025-06-30 04:00:00+00:00,215.84,time stop win,win,0.5196,1.0,213.32,4.85,-0.327254
SMH_PrevDayBreakout_D1_21,SMH,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27 04:00:00+00:00,277.89,272.69,288.29,2025-07-01 04:00:00+00:00,272.69,SL hit,loss,-1.0,1.0,277.89,5.2,0.666403
XAR_TwoDayBreakout_D1_22,XAR,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30 04:00:00+00:00,211.08,201.44,230.36,2025-07-07 04:00:00+00:00,209.49,time stop loss,loss,-0.1649,1.0,211.08,9.64,0.724688
SMH_PrevDayBreakout_D1_22,SMH,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30 04:00:00+00:00,279.26,275.03,287.72,2025-07-01 04:00:00+00:00,275.03,SL hit,loss,-1.0,1.0,279.26,4.23,0.666403
XAR_TwoDayBreakout_D1_23,XAR,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01 04:00:00+00:00,208.995,202.42,222.145,2025-07-08 04:00:00+00:00,208.155,time stop loss,loss,-0.1278,1.0,208.995,6.575,0.744323
IEMG_PrevDayBreakout_D1_23,IEMG,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01 04:00:00+00:00,60.09,59.595,61.08,2025-07-08 04:00:00+00:00,60.1,time stop win,win,0.0202,1.0,60.09,0.495,0.323351
IEMG_PrevDayBreakout_D1_26,IEMG,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07 04:00:00+00:00,59.975,59.835,60.255,2025-07-07 04:00:00+00:00,59.835,SL hit,loss,-1.0,1.0,59.975,0.14,0.594647
VTV_MeanReversion_D1_27,VTV,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08 04:00:00+00:00,177.88,177.73,178.18,2025-07-08 04:00:00+00:00,178.18,TP hit,win,2.0,1.0,177.88,0.15,1.354394
IWD_MeanReversion_D1_27,IWD,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08 04:00:00+00:00,195.7,195.04,197.02,2025-07-10 04:00:00+00:00,197.02,TP hit,win,2.0,1.0,195.7,0.66,0.758862
XAR_TwoDayBreakout_D1_27,XAR,TwoDayBreakout_D1,2025-07-07T00:00:00-04:00,2025-07-08 04:00:00+00:00,209.54,205.21,218.2,2025-07-14 04:00:00+00:00,215.83,time stop win,win,1.4527,1.0,209.54,4.33,0.578861
SMH_PrevDayBreakout_D1_28,SMH,PrevDayBreakout_D1,2025-07-08T00:00:00-04:00,2025-07-09 04:00:00+00:00,284.73,278.62,296.95,2025-07-15 04:00:00+00:00,290.845,time stop win,win,1.0008,1.0,284.73,6.11,0.362664
