signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
IEMG_MeanReversion_D1_1,IEMG,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-08 05:00:00+00:00,68.59,67.22,0.854,0.0,no_slot,1,55.89,1.215,68.59,1.37
IWD_MeanReversion_D1_1,IWD,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-02 05:00:00+00:00,211.11,210.28,-1.0,0.0,no_slot,1,55.89,1.215,211.11,0.83
QQQ_MeanReversion_D1_1,QQQ,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-02 05:00:00+00:00,620.0,614.05,-1.0,0.0,no_slot,1,55.89,1.215,620.0,5.95
VTV_MeanReversion_D1_1,VTV,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-02 05:00:00+00:00,191.41,190.975,-1.0,0.0,no_slot,1,55.89,1.215,191.41,0.435
XLI_MeanReversion_D1_1,XLI,MeanReversion_D1,2026-01-02 05:00:00+00:00,2026-01-02 05:00:00+00:00,155.59,155.06,-1.0,0.0,no_slot,1,55.89,1.215,155.59,0.53
EEM_PrevDayBreakout_D1_2,EEM,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,56.59,54.675,0.282,0.0,no_slot,1,55.89,1.215,56.59,1.915
EEM_TwoDayBreakout_D1_2,EEM,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,56.59,54.675,0.282,0.0,no_slot,1,55.89,1.215,56.59,1.915
IEMG_PrevDayBreakout_D1_2,IEMG,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,69.345,67.22,0.3294,0.0,no_slot,1,55.89,1.215,69.345,2.125
IEMG_TwoDayBreakout_D1_2,IEMG,TwoDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-09 05:00:00+00:00,69.345,67.22,0.3294,0.0,no_slot,1,55.89,1.215,69.345,2.125
IWM_PrevDayBreakout_D1_2,IWM,PrevDayBreakout_D1,2026-01-05 05:00:00+00:00,2026-01-08 05:00:00+00:00,249.785,246.01,2.0,0.0,no_slot,1,55.89,1.215,249.785,3.775
