symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome,signal_id,entry_notional_usd,risk_to_stop_usd
EEM,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,55.89,54.675,58.32,2026-01-08T00:00:00-05:00,56.85,time stop win,0.7901,win,EEM_MeanReversion_D1_1,55.89,1.2150000000000034
EEM,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,58.0,57.24,59.52,2026-01-27T00:00:00-05:00,59.52,TP hit,2.0,win,EEM_MeanReversion_D1_13,58.0,0.759999999999998
EEM,MeanReversion_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,59.245,58.22,61.295,2026-02-11T00:00:00-05:00,61.295,TP hit,2.0,win,EEM_MeanReversion_D1_25,59.245,1.0249999999999986
EEM,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,56.59,54.675,60.42,2026-01-09T00:00:00-05:00,57.13,time stop win,0.282,win,EEM_PrevDayBreakout_D1_2,56.59,1.9150000000000063
EEM,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,57.185,55.825,59.905,2026-01-12T00:00:00-05:00,57.925,time stop win,0.5441,win,EEM_PrevDayBreakout_D1_3,57.185,1.3599999999999994
EEM,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,57.04,56.36,58.4,2026-01-13T00:00:00-05:00,57.51,time stop win,0.6912,win,EEM_PrevDayBreakout_D1_4,57.04,0.6799999999999997
EEM,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,57.24,56.625,58.47,2026-01-16T00:00:00-05:00,57.86,time stop win,1.0081,win,EEM_PrevDayBreakout_D1_7,57.24,0.615000000000002
EEM,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,57.755,56.73,59.805,2026-01-20T00:00:00-05:00,57.34,time stop loss,-0.4049,loss,EEM_PrevDayBreakout_D1_8,57.755,1.0250000000000057
EEM,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,57.97,57.45,59.01,2026-01-20T00:00:00-05:00,57.45,SL hit,-1.0,loss,EEM_PrevDayBreakout_D1_11,57.97,0.519999999999996
EEM,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,58.7,57.24,61.62,2026-01-28T00:00:00-05:00,60.73,time stop win,1.3904,win,EEM_PrevDayBreakout_D1_14,58.7,1.4600000000000009
