signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
EEM_MeanReversion_D1_1,EEM,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02 05:00:00+00:00,55.89,54.675,58.32,2026-01-08 05:00:00+00:00,56.85,time stop win,win,0.7901,1.0,55.89,1.215,0.0
XBI_TwoDayBreakout_D1_5,XBI,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08 05:00:00+00:00,124.89,118.315,138.04,2026-01-14 05:00:00+00:00,126.85,time stop win,win,0.2981,1.0,124.89,6.575,0.0
XAR_TwoDayBreakout_D1_9,XAR,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14 05:00:00+00:00,281.045,271.745,299.645,2026-01-21 05:00:00+00:00,284.33,time stop win,win,0.3532,1.0,281.045,9.3,1.200533
XME_PrevDayBreakout_D1_13,XME,PrevDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21 05:00:00+00:00,128.68,121.435,143.17,2026-01-27 05:00:00+00:00,128.38,time stop loss,loss,-0.0414,1.0,128.68,7.245,1.09886
XLU_PrevDayBreakout_D1_17,XLU,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27 05:00:00+00:00,42.82,42.31,43.84,2026-02-02 05:00:00+00:00,42.605,time stop loss,loss,-0.4216,1.0,42.82,0.51,0.26484
XLP_TwoDayBreakout_D1_21,XLP,TwoDayBreakout_D1,2026-01-30T00:00:00-05:00,2026-02-02 05:00:00+00:00,83.73,81.96,87.27,2026-02-04 05:00:00+00:00,87.27,TP hit,win,2.0,1.0,83.73,1.77,0.651471
XME_PrevDayBreakout_D1_23,XME,PrevDayBreakout_D1,2026-02-03T00:00:00-05:00,2026-02-04 05:00:00+00:00,125.945,117.27,143.295,2026-02-05 05:00:00+00:00,117.27,SL hit,loss,-1.0,1.0,125.945,8.675,0.702989
XLP_TwoDayBreakout_D1_24,XLP,TwoDayBreakout_D1,2026-02-04T00:00:00-05:00,2026-02-05 05:00:00+00:00,87.535,83.315,95.975,2026-02-11 05:00:00+00:00,88.39,time stop win,win,0.2026,1.0,87.535,4.22,0.820037
XLU_PrevDayBreakout_D1_28,XLU,PrevDayBreakout_D1,2026-02-10T00:00:00-05:00,2026-02-11 05:00:00+00:00,44.38,43.06,47.02,2026-02-13 05:00:00+00:00,46.5,time stop win,win,1.6061,1.0,44.38,1.32,-0.013914
IWD_MeanReversion_D1_30,IWD,MeanReversion_D1,2026-02-12T00:00:00-05:00,2026-02-13 05:00:00+00:00,222.305,221.97,222.975,2026-02-13 05:00:00+00:00,221.97,SL hit,loss,-1.0,1.0,222.305,0.335,1.08402
