symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWM,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,252.41,249.09,259.05,2025-12-30T00:00:00-05:00,249.09,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,249.785,246.01,257.335,2026-01-08T00:00:00-05:00,257.335,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,252.305,245.865,265.185,2026-01-12T00:00:00-05:00,261.5,time stop win,1.4278,win
IWM,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,256.345,249.58,269.875,2026-01-13T00:00:00-05:00,261.355,time stop win,0.7406,win
IWM,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,259.54,253.985,270.65,2026-01-15T00:00:00-05:00,265.48,time stop win,1.0693,win
IWM,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,259.23,254.45,268.79,2026-01-16T00:00:00-05:00,265.75,time stop win,1.364,win
IWM,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,264.07,260.47,271.27,2026-01-22T00:00:00-05:00,271.27,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,265.8,260.215,276.97,2026-01-23T00:00:00-05:00,264.8,time stop loss,-0.1791,loss
IWM,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,269.775,261.09,287.145,2026-01-28T00:00:00-05:00,263.265,time stop loss,-0.7496,loss
IWM,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,268.995,262.95,281.085,2026-01-27T00:00:00-05:00,262.95,SL hit,-1.0,loss
