symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPY,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,683.895,676.475,698.735,2025-12-30T00:00:00-05:00,686.93,time stop win,0.409,win
SPY,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,687.92,682.715,698.33,2025-12-31T00:00:00-05:00,682.715,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,690.555,683.88,703.905,2025-12-31T00:00:00-05:00,683.88,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,687.92,679.88,704.0,2026-01-12T00:00:00-05:00,695.185,time stop win,0.9036,win
SPY,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,692.185,686.385,703.785,2026-01-13T00:00:00-05:00,693.71,time stop win,0.2629,win
SPY,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,690.68,687.495,697.05,2026-01-14T00:00:00-05:00,687.495,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,693.68,686.17,708.7,2026-01-20T00:00:00-05:00,686.17,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,689.85,676.58,716.39,2026-01-28T00:00:00-05:00,695.39,time stop win,0.4175,win
SPY,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,688.1,678.165,707.97,2026-01-29T00:00:00-05:00,693.965,time stop win,0.5903,win
SPY,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,694.15,687.18,708.09,2026-01-29T00:00:00-05:00,687.18,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,697.02,689.95,711.16,2026-01-29T00:00:00-05:00,689.95,SL hit,-1.0,loss
