symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
AAPL,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,203.01,200.17,208.69,2025-06-09T00:00:00-04:00,200.17,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,200.62,200.045,201.77,2025-06-10T00:00:00-04:00,201.77,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-06-11T00:00:00-04:00,2025-06-12T00:00:00-04:00,198.98,198.43,200.08,2025-06-12T00:00:00-04:00,198.43,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,197.31,195.78,200.37,2025-06-17T00:00:00-04:00,195.78,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,195.875,195.22,197.185,2025-06-18T00:00:00-04:00,195.22,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,210.01,208.835,212.36,2025-07-08T00:00:00-04:00,208.835,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,209.215,207.57,212.505,2025-07-21T00:00:00-04:00,212.505,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,211.895,210.88,213.925,2025-07-30T00:00:00-04:00,210.88,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,208.425,207.73,209.815,2025-07-31T00:00:00-04:00,207.73,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,204.505,201.5,210.515,2025-08-06T00:00:00-04:00,210.515,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,226.27,225.78,227.25,2025-08-21T00:00:00-04:00,225.78,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-08-21T00:00:00-04:00,2025-08-22T00:00:00-04:00,226.165,223.8,230.895,2025-08-27T00:00:00-04:00,230.895,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,237.21,227.0,257.63,2025-09-09T00:00:00-04:00,234.35,time stop loss,-0.2801,loss
AAPL,MeanReversion_D1,2025-09-08T00:00:00-04:00,2025-09-09T00:00:00-04:00,236.93,236.34,238.11,2025-09-09T00:00:00-04:00,236.34,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,226.77,225.955,228.4,2025-09-11T00:00:00-04:00,228.4,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-09-24T00:00:00-04:00,2025-09-25T00:00:00-04:00,253.32,251.04,257.88,2025-10-01T00:00:00-04:00,257.88,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,254.915,253.14,258.465,2025-10-10T00:00:00-04:00,253.14,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,249.305,244.66,258.595,2025-10-17T00:00:00-04:00,252.34,time stop win,0.6534,win
AAPL,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,248.05,245.16,253.83,2025-10-20T00:00:00-04:00,253.83,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,259.92,255.445,268.87,2025-10-27T00:00:00-04:00,268.87,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,268.29,266.28,272.31,2025-11-06T00:00:00-05:00,272.31,TP hit,2.0,win
AAPL,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,269.915,265.75,278.245,2025-11-18T00:00:00-05:00,265.75,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,280.59,278.6,284.57,2025-12-05T00:00:00-05:00,278.6,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,278.16,276.175,282.13,2025-12-11T00:00:00-05:00,276.175,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,272.255,271.77,273.225,2026-01-02T00:00:00-05:00,271.77,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,270.715,269.1,273.945,2026-01-05T00:00:00-05:00,269.1,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,266.97,266.175,268.56,2026-01-06T00:00:00-05:00,266.175,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,263.24,262.14,265.44,2026-01-07T00:00:00-05:00,262.14,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,258.985,255.7,265.555,2026-01-15T00:00:00-05:00,258.09,time stop loss,-0.2725,loss
AAPL,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,248.6,243.45,258.9,2026-01-27T00:00:00-05:00,258.9,TP hit,2.0,win
AAPL,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,251.31,244.69,264.55,2026-01-30T00:00:00-05:00,259.06,time stop win,1.1707,win
AAPL,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,258.115,254.51,265.325,2026-01-29T00:00:00-05:00,254.51,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,274.99,271.71,281.55,2026-02-12T00:00:00-05:00,271.71,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,262.15,260.19,266.07,2026-02-13T00:00:00-05:00,260.19,SL hit,-1.0,loss
AAPL,MeanReversion_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,258.055,255.48,263.205,2026-02-17T00:00:00-05:00,263.205,TP hit,2.0,win
