symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
AAPL,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,202.92,200.13,208.5,2025-06-09T00:00:00-04:00,200.13,SL hit,-1.0,loss
AAPL,PrevDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,201.625,195.07,214.735,2025-06-27T00:00:00-04:00,201.05,time stop loss,-0.0877,loss
AAPL,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,206.725,200.2,219.775,2025-07-08T00:00:00-04:00,210.095,time stop win,0.5165,win
AAPL,PrevDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,208.995,199.27,228.445,2025-07-09T00:00:00-04:00,211.13,time stop win,0.2195,win
AAPL,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,212.17,206.2,224.11,2025-07-10T00:00:00-04:00,212.36,time stop win,0.0318,win
AAPL,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,212.81,208.15,222.13,2025-07-09T00:00:00-04:00,208.15,SL hit,-1.0,loss
AAPL,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,210.37,207.24,216.63,2025-07-17T00:00:00-04:00,210.13,time stop loss,-0.0767,loss
AAPL,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,213.24,209.73,220.26,2025-07-28T00:00:00-04:00,214.0,time stop win,0.2165,win
AAPL,PrevDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,218.92,202.165,252.43,2025-08-13T00:00:00-04:00,233.22,time stop win,0.8535,win
AAPL,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,220.89,205.61,251.45,2025-08-14T00:00:00-04:00,232.78,time stop win,0.7781,win
AAPL,PrevDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,227.92,216.62,250.52,2025-08-15T00:00:00-04:00,231.65,time stop win,0.3301,win
AAPL,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,231.05,224.78,243.59,2025-08-19T00:00:00-04:00,230.56,time stop loss,-0.0781,loss
AAPL,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,234.01,227.155,247.72,2025-08-20T00:00:00-04:00,227.155,SL hit,-1.0,loss
AAPL,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,226.48,223.8,231.84,2025-08-28T00:00:00-04:00,231.84,TP hit,2.0,win
AAPL,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,230.75,224.7,242.85,2025-09-04T00:00:00-04:00,239.71,time stop win,1.481,win
AAPL,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,232.99,228.3,242.37,2025-09-02T00:00:00-04:00,228.3,SL hit,-1.0,loss
AAPL,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,238.48,227.0,261.44,2025-09-10T00:00:00-04:00,227.0,SL hit,-1.0,loss
