symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
AMZN,MeanReversion_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,214.46,212.55,218.28,2025-06-20T00:00:00-04:00,212.55,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,209.79,208.28,212.81,2025-06-23T00:00:00-04:00,208.28,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-07-08T00:00:00-04:00,2025-07-09T00:00:00-04:00,221.07,218.43,226.35,2025-07-11T00:00:00-04:00,226.35,TP hit,2.0,win
AMZN,MeanReversion_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,223.27,222.2,225.41,2025-07-18T00:00:00-04:00,225.41,TP hit,2.0,win
AMZN,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,231.58,230.315,234.11,2025-07-30T00:00:00-04:00,230.315,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,235.71,229.33,248.47,2025-08-01T00:00:00-04:00,229.33,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,217.35,212.815,226.42,2025-08-04T00:00:00-04:00,212.815,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,213.22,211.42,216.82,2025-08-06T00:00:00-04:00,216.82,TP hit,2.0,win
AMZN,MeanReversion_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,222.215,220.4,225.845,2025-08-12T00:00:00-04:00,220.4,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,227.15,227.14,227.17,2025-08-20T00:00:00-04:00,227.14,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,222.75,220.93,226.39,2025-08-21T00:00:00-04:00,220.93,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,225.22,221.835,231.99,2025-09-04T00:00:00-04:00,231.99,TP hit,2.0,win
AMZN,MeanReversion_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,231.395,229.135,235.915,2025-09-12T00:00:00-04:00,229.135,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,230.86,226.4,239.78,2025-09-19T00:00:00-04:00,231.5,time stop win,0.1435,win
AMZN,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,232.405,228.72,239.775,2025-09-22T00:00:00-04:00,228.72,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,227.805,227.515,228.385,2025-09-23T00:00:00-04:00,227.515,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,224.37,220.08,232.95,2025-09-24T00:00:00-04:00,220.08,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,219.08,216.48,224.28,2025-10-02T00:00:00-04:00,222.44,time stop win,1.2923,win
AMZN,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,217.75,216.175,220.9,2025-10-14T00:00:00-04:00,216.175,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,216.445,212.65,224.035,2025-10-17T00:00:00-04:00,212.65,SL hit,-1.0,loss
AMZN,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,218.61,216.54,222.75,2025-10-24T00:00:00-04:00,222.75,TP hit,2.0,win
AMZN,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,250.2,222.77,305.06,2025-11-06T00:00:00-05:00,242.96,time stop loss,-0.2639,loss
AMZN,MeanReversion_D1,2025-11-06T00:00:00-05:00,2025-11-07T00:00:00-05:00,242.895,242.18,244.325,2025-11-07T00:00:00-05:00,242.18,SL hit,-1.0,loss
