symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
AMZN,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03T00:00:00-04:00,207.105,201.7,217.915,2025-06-09T00:00:00-04:00,216.94,time stop win,1.8196,win
AMZN,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,214.73,207.63,228.93,2025-06-13T00:00:00-04:00,212.17,time stop loss,-0.3606,loss
AMZN,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,216.8,210.53,229.34,2025-06-13T00:00:00-04:00,210.53,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,215.165,209.675,226.145,2025-06-20T00:00:00-04:00,209.675,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,214.49,207.34,228.79,2025-07-01T00:00:00-04:00,220.47,time stop win,0.8364,win
AMZN,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,219.94,211.16,237.5,2025-07-03T00:00:00-04:00,223.38,time stop win,0.3918,win
AMZN,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,223.53,212.02,246.55,2025-07-07T00:00:00-04:00,223.47,time stop loss,-0.0052,loss
AMZN,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,223.16,219.09,231.3,2025-07-08T00:00:00-04:00,219.09,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,225.07,219.7,235.81,2025-07-18T00:00:00-04:00,226.09,time stop win,0.1899,win
AMZN,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,226.005,222.52,232.975,2025-07-24T00:00:00-04:00,232.975,TP hit,2.0,win
AMZN,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,229.75,222.985,243.28,2025-07-28T00:00:00-04:00,232.79,time stop win,0.4494,win
AMZN,PrevDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,232.11,227.1,242.13,2025-07-31T00:00:00-04:00,234.18,time stop win,0.4132,win
AMZN,PrevDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,234.205,231.2,240.215,2025-07-29T00:00:00-04:00,231.2,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,220.95,212.94,236.97,2025-08-13T00:00:00-04:00,224.53,time stop win,0.4469,win
AMZN,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,223.24,213.75,242.22,2025-08-14T00:00:00-04:00,230.89,time stop win,0.8061,win
AMZN,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,227.375,219.065,243.995,2025-08-20T00:00:00-04:00,223.8,time stop loss,-0.4302,loss
AMZN,PrevDayBreakout_D1,2025-08-14T00:00:00-04:00,2025-08-15T00:00:00-04:00,232.46,222.16,253.06,2025-08-20T00:00:00-04:00,222.16,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,227.47,220.55,241.31,2025-08-29T00:00:00-04:00,229.02,time stop win,0.224,win
AMZN,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,229.23,226.07,235.55,2025-09-02T00:00:00-04:00,226.07,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,231.315,227.85,238.245,2025-09-02T00:00:00-04:00,227.85,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,235.19,224.37,256.83,2025-09-11T00:00:00-04:00,229.82,time stop loss,-0.4963,loss
AMZN,PrevDayBreakout_D1,2025-09-09T00:00:00-04:00,2025-09-10T00:00:00-04:00,237.34,233.805,244.41,2025-09-10T00:00:00-04:00,233.805,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,232.94,226.4,246.02,2025-09-22T00:00:00-04:00,227.62,time stop loss,-0.8135,loss
AMZN,PrevDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,233.77,230.35,240.61,2025-09-17T00:00:00-04:00,230.35,SL hit,-1.0,loss
AMZN,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,222.04,218.045,230.03,2025-09-30T00:00:00-04:00,218.045,SL hit,-1.0,loss
