symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
AMZN,TwoDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,214.73,205.26,233.67,2025-06-13T00:00:00-04:00,212.17,time stop loss,-0.2703,loss
AMZN,TwoDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,216.8,207.63,235.14,2025-06-16T00:00:00-04:00,216.16,time stop loss,-0.0698,loss
AMZN,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,215.165,209.675,226.145,2025-06-20T00:00:00-04:00,209.675,SL hit,-1.0,loss
AMZN,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,219.94,211.15,237.52,2025-07-03T00:00:00-04:00,223.38,time stop win,0.3914,win
AMZN,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,223.53,211.16,248.27,2025-07-07T00:00:00-04:00,223.47,time stop loss,-0.0049,loss
AMZN,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,223.16,217.955,233.57,2025-07-11T00:00:00-04:00,224.96,time stop win,0.3458,win
AMZN,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,225.07,219.7,235.81,2025-07-18T00:00:00-04:00,226.09,time stop win,0.1899,win
AMZN,TwoDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,226.005,222.2,233.615,2025-07-24T00:00:00-04:00,233.615,TP hit,2.0,win
AMZN,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,229.75,222.52,244.21,2025-07-28T00:00:00-04:00,232.79,time stop win,0.4205,win
AMZN,TwoDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,232.11,226.36,243.61,2025-07-31T00:00:00-04:00,234.18,time stop win,0.36,win
AMZN,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,220.95,211.42,240.01,2025-08-13T00:00:00-04:00,224.53,time stop win,0.3757,win
AMZN,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,223.24,212.94,243.84,2025-08-14T00:00:00-04:00,230.89,time stop win,0.7427,win
AMZN,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,227.375,219.065,243.995,2025-08-20T00:00:00-04:00,223.8,time stop loss,-0.4302,loss
