symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
META,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,699.57,681.065,736.58,2025-06-20T00:00:00-04:00,681.065,SL hit,-1.0,loss
META,MeanReversion_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,700.55,695.015,711.62,2025-06-20T00:00:00-04:00,695.015,SL hit,-1.0,loss
META,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,683.315,679.08,691.785,2025-06-23T00:00:00-04:00,679.08,SL hit,-1.0,loss
META,MeanReversion_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,726.435,712.81,753.685,2025-07-10T00:00:00-04:00,727.25,time stop win,0.0598,win
META,MeanReversion_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,716.845,709.9,730.735,2025-07-16T00:00:00-04:00,709.9,SL hit,-1.0,loss
META,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,713.37,709.97,720.17,2025-07-16T00:00:00-04:00,709.97,SL hit,-1.0,loss
META,MeanReversion_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,704.515,699.42,714.705,2025-07-17T00:00:00-04:00,699.42,SL hit,-1.0,loss
META,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,706.345,701.54,715.955,2025-07-24T00:00:00-04:00,715.955,TP hit,2.0,win
META,MeanReversion_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,714.95,712.245,720.36,2025-07-28T00:00:00-04:00,720.36,TP hit,2.0,win
META,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,707.425,700.74,720.795,2025-07-30T00:00:00-04:00,700.74,SL hit,-1.0,loss
META,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,775.635,691.99,942.925,2025-08-06T00:00:00-04:00,771.8,time stop loss,-0.0458,loss
META,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,760.17,745.39,789.73,2025-08-08T00:00:00-04:00,769.43,time stop win,0.6265,win
META,MeanReversion_D1,2025-08-18T00:00:00-04:00,2025-08-19T00:00:00-04:00,766.45,756.91,785.53,2025-08-19T00:00:00-04:00,756.91,SL hit,-1.0,loss
META,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,745.04,731.155,772.81,2025-08-27T00:00:00-04:00,747.3,time stop win,0.1628,win
META,MeanReversion_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,744.58,743.38,746.98,2025-08-28T00:00:00-04:00,743.38,SL hit,-1.0,loss
META,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,735.71,723.05,761.03,2025-09-08T00:00:00-04:00,761.03,TP hit,2.0,win
META,MeanReversion_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,755.11,751.04,763.25,2025-09-11T00:00:00-04:00,751.04,SL hit,-1.0,loss
META,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,769.25,764.5,778.75,2025-09-23T00:00:00-04:00,764.5,SL hit,-1.0,loss
META,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,757.625,751.08,770.715,2025-09-25T00:00:00-04:00,751.08,SL hit,-1.0,loss
META,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,749.94,744.78,760.26,2025-09-26T00:00:00-04:00,744.78,SL hit,-1.0,loss
META,MeanReversion_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,748.77,737.45,771.41,2025-09-30T00:00:00-04:00,737.45,SL hit,-1.0,loss
META,MeanReversion_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,722.6,710.59,746.62,2025-10-03T00:00:00-04:00,710.59,SL hit,-1.0,loss
META,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,713.275,704.72,730.385,2025-10-14T00:00:00-04:00,704.72,SL hit,-1.0,loss
META,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,674.25,650.775,721.2,2025-10-31T00:00:00-04:00,650.775,SL hit,-1.0,loss
META,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,656.57,645.77,678.17,2025-11-03T00:00:00-05:00,645.77,SL hit,-1.0,loss
META,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,631.56,626.34,642.0,2025-11-05T00:00:00-05:00,642.0,TP hit,2.0,win
META,MeanReversion_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,613.155,607.79,623.885,2025-11-13T00:00:00-05:00,607.79,SL hit,-1.0,loss
META,MeanReversion_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,643.8,643.46,644.48,2025-12-11T00:00:00-05:00,643.46,SL hit,-1.0,loss
META,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,658.67,654.445,667.12,2025-12-30T00:00:00-05:00,667.12,TP hit,2.0,win
META,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,651.195,643.58,666.425,2026-01-08T00:00:00-05:00,643.58,SL hit,-1.0,loss
META,MeanReversion_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,645.76,644.97,647.34,2026-01-08T00:00:00-05:00,644.97,SL hit,-1.0,loss
META,MeanReversion_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,626.03,624.185,629.72,2026-01-14T00:00:00-05:00,624.185,SL hit,-1.0,loss
META,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,618.05,614.85,624.45,2026-01-15T00:00:00-05:00,614.85,SL hit,-1.0,loss
META,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,606.62,600.01,619.84,2026-01-22T00:00:00-05:00,619.84,TP hit,2.0,win
META,MeanReversion_D1,2026-02-02T00:00:00-05:00,2026-02-03T00:00:00-05:00,707.645,703.6,715.735,2026-02-03T00:00:00-05:00,703.6,SL hit,-1.0,loss
META,MeanReversion_D1,2026-02-03T00:00:00-05:00,2026-02-04T00:00:00-05:00,687.7,686.47,690.16,2026-02-04T00:00:00-05:00,686.47,SL hit,-1.0,loss
META,MeanReversion_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,668.18,657.15,690.24,2026-02-12T00:00:00-05:00,657.15,SL hit,-1.0,loss
META,MeanReversion_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,639.495,634.59,649.305,2026-02-17T00:00:00-05:00,634.59,SL hit,-1.0,loss
