symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
META,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03T00:00:00-04:00,671.445,632.92,748.495,2025-06-09T00:00:00-04:00,694.23,time stop win,0.5914,win
META,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,692.33,665.22,746.55,2025-06-11T00:00:00-04:00,694.18,time stop win,0.0682,win
META,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,698.05,682.42,729.31,2025-06-13T00:00:00-04:00,682.42,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,702.135,681.065,744.275,2025-06-20T00:00:00-04:00,681.065,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,713.075,678.985,781.255,2025-07-01T00:00:00-04:00,719.365,time stop win,0.1845,win
META,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,728.71,705.62,774.89,2025-07-03T00:00:00-04:00,718.895,time stop loss,-0.4251,loss
META,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,743.97,711.16,809.59,2025-07-07T00:00:00-04:00,718.26,time stop loss,-0.7836,loss
META,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,736.875,725.925,758.775,2025-07-01T00:00:00-04:00,725.925,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,732.575,715.0,767.725,2025-07-11T00:00:00-04:00,715.0,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,715.81,691.805,763.82,2025-07-28T00:00:00-04:00,717.59,time stop win,0.0742,win
META,PrevDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,716.915,704.94,740.865,2025-07-29T00:00:00-04:00,704.94,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-07-31T00:00:00-04:00,2025-08-01T00:00:00-04:00,761.065,691.99,899.215,2025-08-07T00:00:00-04:00,761.57,time stop win,0.0073,win
META,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,776.72,745.39,839.38,2025-08-11T00:00:00-04:00,766.13,time stop loss,-0.338,loss
META,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,791.23,764.865,843.96,2025-08-18T00:00:00-04:00,764.865,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,754.725,733.3,797.575,2025-08-29T00:00:00-04:00,738.21,time stop loss,-0.7708,loss
META,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,748.57,723.05,799.61,2025-09-10T00:00:00-04:00,751.945,time stop win,0.1322,win
META,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,752.67,734.01,789.99,2025-09-11T00:00:00-04:00,751.185,time stop loss,-0.0796,loss
META,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,767.81,743.965,815.5,2025-09-22T00:00:00-04:00,765.14,time stop loss,-0.112,loss
META,PrevDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,779.095,752.41,832.465,2025-09-23T00:00:00-04:00,752.41,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,729.085,710.59,766.075,2025-10-03T00:00:00-04:00,710.59,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,732.1,707.82,780.66,2025-10-10T00:00:00-04:00,707.82,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,717.555,699.99,752.685,2025-10-22T00:00:00-04:00,733.33,time stop win,0.8981,win
META,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,736.475,706.44,796.545,2025-10-27T00:00:00-04:00,750.74,time stop win,0.4749,win
META,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,752.765,731.225,795.845,2025-10-30T00:00:00-04:00,731.225,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,627.6,601.28,680.24,2025-11-14T00:00:00-05:00,601.28,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,624.07,582.05,708.11,2025-12-02T00:00:00-05:00,647.225,time stop win,0.551,win
META,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,637.21,597.76,716.11,2025-12-03T00:00:00-05:00,639.48,time stop win,0.0575,win
META,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,638.475,631.76,651.905,2025-12-04T00:00:00-05:00,651.905,TP hit,2.0,win
META,PrevDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,642.94,637.885,653.05,2025-12-04T00:00:00-05:00,653.05,TP hit,2.0,win
META,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,663.98,638.845,714.25,2025-12-11T00:00:00-05:00,652.78,time stop loss,-0.4456,loss
META,PrevDayBreakout_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,655.43,638.795,688.7,2025-12-23T00:00:00-05:00,665.06,time stop win,0.5789,win
META,PrevDayBreakout_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,666.51,649.21,701.11,2025-12-26T00:00:00-05:00,663.26,time stop loss,-0.1879,loss
META,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,667.86,659.2,685.18,2025-12-29T00:00:00-05:00,659.2,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,663.85,654.445,682.66,2026-01-02T00:00:00-05:00,654.445,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,651.84,635.78,683.96,2026-01-13T00:00:00-05:00,635.78,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,629.35,600.01,688.03,2026-01-28T00:00:00-05:00,667.35,time stop win,1.2952,win
META,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,644.52,600.22,733.12,2026-01-29T00:00:00-05:00,733.12,TP hit,2.0,win
META,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,665.33,626.69,742.61,2026-01-29T00:00:00-05:00,742.61,TP hit,2.0,win
META,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,674.66,644.52,734.94,2026-01-29T00:00:00-05:00,734.94,TP hit,2.0,win
META,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,727.995,667.35,849.285,2026-02-05T00:00:00-05:00,667.35,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,677.805,646.54,740.335,2026-02-12T00:00:00-05:00,646.54,SL hit,-1.0,loss
META,PrevDayBreakout_D1,2026-02-18T00:00:00-05:00,2026-02-19T00:00:00-05:00,638.315,628.92,657.105,2026-02-19T00:00:00-05:00,644.78,time stop win,0.6881,win
