symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
META,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,692.33,644.97,787.05,2025-06-11T00:00:00-04:00,694.18,time stop win,0.0391,win
META,TwoDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,698.05,668.98,756.19,2025-06-13T00:00:00-04:00,682.855,time stop loss,-0.5227,loss
META,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,702.135,681.065,744.275,2025-06-20T00:00:00-04:00,681.065,SL hit,-1.0,loss
META,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,713.075,678.985,781.255,2025-07-01T00:00:00-04:00,719.365,time stop win,0.1845,win
META,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,728.71,702.19,781.75,2025-07-03T00:00:00-04:00,718.895,time stop loss,-0.3701,loss
META,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,743.97,705.62,820.67,2025-07-07T00:00:00-04:00,718.26,time stop loss,-0.6704,loss
META,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,736.875,711.16,788.305,2025-07-08T00:00:00-04:00,720.51,time stop loss,-0.6364,loss
META,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,732.575,713.51,770.705,2025-07-11T00:00:00-04:00,713.51,SL hit,-1.0,loss
META,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,715.81,691.805,763.82,2025-07-28T00:00:00-04:00,717.59,time stop win,0.0742,win
META,TwoDayBreakout_D1,2025-07-31T00:00:00-04:00,2025-08-01T00:00:00-04:00,761.065,691.99,899.215,2025-08-07T00:00:00-04:00,761.57,time stop win,0.0073,win
META,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,791.23,758.59,856.51,2025-08-18T00:00:00-04:00,758.59,SL hit,-1.0,loss
META,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,754.725,731.155,801.865,2025-08-29T00:00:00-04:00,738.21,time stop loss,-0.7007,loss
META,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,752.67,723.05,811.91,2025-09-11T00:00:00-04:00,751.185,time stop loss,-0.0501,loss
META,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,767.81,743.965,815.5,2025-09-22T00:00:00-04:00,765.14,time stop loss,-0.112,loss
META,TwoDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,779.095,743.965,849.355,2025-09-23T00:00:00-04:00,755.7,time stop loss,-0.666,loss
META,TwoDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,732.1,706.15,784.0,2025-10-10T00:00:00-04:00,706.15,SL hit,-1.0,loss
META,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,736.475,704.1,801.225,2025-10-27T00:00:00-04:00,750.74,time stop win,0.4406,win
META,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,752.765,731.225,795.845,2025-10-30T00:00:00-04:00,731.225,SL hit,-1.0,loss
META,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,624.07,582.05,708.11,2025-12-02T00:00:00-05:00,647.225,time stop win,0.551,win
META,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,637.21,582.05,747.53,2025-12-03T00:00:00-05:00,639.48,time stop win,0.0412,win
META,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,638.475,618.605,678.215,2025-12-05T00:00:00-05:00,673.32,time stop win,1.7536,win
META,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,663.98,638.115,715.71,2025-12-11T00:00:00-05:00,652.78,time stop loss,-0.433,loss
META,TwoDayBreakout_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,655.43,638.67,688.95,2025-12-23T00:00:00-05:00,665.06,time stop win,0.5746,win
META,TwoDayBreakout_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,666.51,643.81,711.91,2025-12-26T00:00:00-05:00,663.26,time stop loss,-0.1432,loss
META,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,644.52,600.01,733.54,2026-01-29T00:00:00-05:00,733.54,TP hit,2.0,win
META,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,665.33,600.22,795.55,2026-01-30T00:00:00-05:00,716.86,time stop win,0.7914,win
META,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,674.66,626.69,770.6,2026-02-02T00:00:00-05:00,706.385,time stop win,0.6614,win
META,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,727.995,664.9,854.185,2026-02-05T00:00:00-05:00,664.9,SL hit,-1.0,loss
