symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MSFT,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,464.01,455.62,480.79,2025-06-10T00:00:00-04:00,470.96,time stop win,0.8284,win
MSFT,TwoDayBreakout_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,470.085,460.93,488.395,2025-06-12T00:00:00-04:00,478.9,time stop win,0.9629,win
MSFT,TwoDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,469.68,463.04,482.96,2025-06-13T00:00:00-04:00,474.88,time stop win,0.7831,win
MSFT,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,475.81,467.05,493.33,2025-06-20T00:00:00-04:00,477.3,time stop win,0.1701,win
MSFT,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,488.95,475.26,516.33,2025-06-30T00:00:00-04:00,497.45,time stop win,0.6209,win
MSFT,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,491.83,472.56,530.37,2025-07-01T00:00:00-04:00,492.1,time stop win,0.014,win
MSFT,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,493.255,472.56,534.645,2025-07-02T00:00:00-04:00,491.09,time stop loss,-0.1046,loss
MSFT,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,497.31,486.81,518.31,2025-07-03T00:00:00-04:00,498.735,time stop win,0.1357,win
MSFT,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,497.36,488.815,514.45,2025-07-11T00:00:00-04:00,503.32,time stop win,0.6975,win
MSFT,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,503.05,494.14,520.87,2025-07-16T00:00:00-04:00,505.74,time stop win,0.3019,win
MSFT,TwoDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,505.19,497.795,519.98,2025-07-22T00:00:00-04:00,505.73,time stop win,0.073,win
MSFT,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,514.18,502.005,538.53,2025-07-23T00:00:00-04:00,502.005,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,514.06,500.72,540.74,2025-07-31T00:00:00-04:00,540.74,TP hit,2.0,win
MSFT,TwoDayBreakout_D1,2025-07-31T00:00:00-04:00,2025-08-01T00:00:00-04:00,535.595,509.495,587.795,2025-08-07T00:00:00-04:00,520.8,time stop loss,-0.5669,loss
MSFT,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,532.11,519.57,557.19,2025-08-13T00:00:00-04:00,519.57,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,508.07,498.535,527.14,2025-09-02T00:00:00-04:00,498.535,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,509.15,496.95,533.55,2025-09-05T00:00:00-04:00,496.95,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,508.79,496.72,532.93,2025-09-19T00:00:00-04:00,518.01,time stop win,0.7639,win
MSFT,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,516.41,497.95,553.33,2025-09-22T00:00:00-04:00,514.48,time stop loss,-0.1046,loss
MSFT,TwoDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,515.855,506.0,535.565,2025-09-25T00:00:00-04:00,506.0,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,513.155,505.06,529.345,2025-10-06T00:00:00-04:00,529.345,TP hit,2.0,win
MSFT,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,514.555,506.71,530.245,2025-10-06T00:00:00-04:00,530.245,TP hit,2.0,win
MSFT,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,517.575,509.2,534.325,2025-10-08T00:00:00-04:00,524.7,time stop win,0.8507,win
MSFT,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,528.285,510.7,563.455,2025-10-10T00:00:00-04:00,510.7,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,522.48,513.1,541.24,2025-10-28T00:00:00-04:00,541.24,TP hit,2.0,win
MSFT,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,550.45,518.655,614.04,2025-10-31T00:00:00-04:00,518.655,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,544.73,520.75,592.69,2025-10-31T00:00:00-04:00,520.75,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,504.89,493.31,528.05,2025-11-17T00:00:00-05:00,507.61,time stop win,0.2349,win
MSFT,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,509.025,493.31,540.455,2025-11-18T00:00:00-05:00,493.31,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,510.31,498.86,533.21,2025-11-14T00:00:00-05:00,498.86,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,487.37,464.94,532.23,2025-12-04T00:00:00-05:00,480.97,time stop loss,-0.2853,loss
MSFT,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,487.755,464.94,533.385,2025-12-05T00:00:00-05:00,483.03,time stop loss,-0.2071,loss
MSFT,TwoDayBreakout_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,489.255,476.5,514.765,2025-12-10T00:00:00-05:00,476.5,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,487.68,470.92,521.2,2025-12-26T00:00:00-05:00,487.85,time stop win,0.0101,win
MSFT,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,480.89,469.605,503.46,2026-01-13T00:00:00-05:00,469.605,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,465.245,438.73,518.275,2026-01-29T00:00:00-05:00,438.73,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,483.44,450.65,549.02,2026-01-29T00:00:00-05:00,450.65,SL hit,-1.0,loss
MSFT,TwoDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,419.66,392.39,474.2,2026-02-17T00:00:00-05:00,396.76,time stop loss,-0.8398,loss
