symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
NVDA,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,142.18,135.45,155.64,2025-06-10T00:00:00-04:00,143.95,time stop win,0.263,win
NVDA,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,142.48,141.88,143.68,2025-06-13T00:00:00-04:00,141.88,SL hit,-1.0,loss
NVDA,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,144.47,140.86,151.69,2025-06-24T00:00:00-04:00,147.89,time stop win,0.9474,win
NVDA,PrevDayBreakout_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,145.4,143.8,148.6,2025-06-20T00:00:00-04:00,143.8,SL hit,-1.0,loss
NVDA,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,149.29,142.05,163.77,2025-07-01T00:00:00-04:00,153.34,time stop win,0.5594,win
NVDA,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,155.985,145.51,176.935,2025-07-02T00:00:00-04:00,157.26,time stop win,0.1217,win
NVDA,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,155.985,149.29,169.375,2025-07-03T00:00:00-04:00,159.325,time stop win,0.4989,win
NVDA,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,158.41,154.03,167.17,2025-07-01T00:00:00-04:00,154.03,SL hit,-1.0,loss
NVDA,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,158.295,151.5,171.885,2025-07-10T00:00:00-04:00,164.09,time stop win,0.8528,win
NVDA,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,158.19,153.01,168.55,2025-07-11T00:00:00-04:00,164.89,time stop win,1.2934,win
NVDA,PrevDayBreakout_D1,2025-07-08T00:00:00-04:00,2025-07-09T00:00:00-04:00,161.215,157.365,168.915,2025-07-15T00:00:00-04:00,168.915,TP hit,2.0,win
NVDA,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,164.365,158.4,176.295,2025-07-16T00:00:00-04:00,171.34,time stop win,1.1693,win
NVDA,PrevDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,165.425,161.625,173.025,2025-07-17T00:00:00-04:00,173.025,TP hit,2.0,win
