symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
NVDA,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,142.18,132.925,160.69,2025-06-10T00:00:00-04:00,143.95,time stop win,0.1912,win
NVDA,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,142.48,141.55,144.34,2025-06-13T00:00:00-04:00,141.55,SL hit,-1.0,loss
NVDA,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,149.29,142.05,163.77,2025-07-01T00:00:00-04:00,153.34,time stop win,0.5594,win
NVDA,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,155.985,142.05,183.855,2025-07-02T00:00:00-04:00,157.26,time stop win,0.0915,win
NVDA,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,155.985,145.51,176.935,2025-07-03T00:00:00-04:00,159.325,time stop win,0.3189,win
NVDA,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,158.41,149.29,176.65,2025-07-07T00:00:00-04:00,158.305,time stop loss,-0.0115,loss
NVDA,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,158.19,151.5,171.57,2025-07-11T00:00:00-04:00,164.89,time stop win,1.0015,win
NVDA,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,164.365,157.365,178.365,2025-07-16T00:00:00-04:00,171.34,time stop win,0.9964,win
NVDA,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,165.425,161.17,173.935,2025-07-17T00:00:00-04:00,173.935,TP hit,2.0,win
NVDA,TwoDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,171.065,162.035,189.125,2025-07-22T00:00:00-04:00,167.01,time stop loss,-0.4491,loss
NVDA,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,173.725,168.9,183.375,2025-07-22T00:00:00-04:00,168.9,SL hit,-1.0,loss
NVDA,TwoDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,173.615,164.62,191.605,2025-07-31T00:00:00-04:00,178.06,time stop win,0.4942,win
NVDA,TwoDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,177.985,171.3,191.355,2025-08-01T00:00:00-04:00,171.3,SL hit,-1.0,loss
NVDA,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,181.55,175.915,192.82,2025-08-14T00:00:00-04:00,182.025,time stop win,0.0843,win
NVDA,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,178.36,168.82,197.44,2025-08-29T00:00:00-04:00,174.215,time stop loss,-0.4345,loss
NVDA,TwoDayBreakout_D1,2025-08-25T00:00:00-04:00,2025-08-26T00:00:00-04:00,180.06,171.21,197.76,2025-09-02T00:00:00-04:00,171.21,SL hit,-1.0,loss
