symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TSLA,MeanReversion_D1,2025-06-02T00:00:00-04:00,2025-06-03T00:00:00-04:00,346.595,333.38,373.025,2025-06-04T00:00:00-04:00,333.38,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,298.83,273.33,349.83,2025-06-12T00:00:00-04:00,319.15,time stop win,0.7969,win
TSLA,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,317.255,314.78,322.205,2025-06-18T00:00:00-04:00,322.205,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,324.695,320.45,333.185,2025-06-27T00:00:00-04:00,320.45,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,312.575,293.32,351.085,2025-07-07T00:00:00-04:00,293.32,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,296.89,288.82,313.03,2025-07-11T00:00:00-04:00,313.03,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,312.83,310.54,317.41,2025-07-16T00:00:00-04:00,317.41,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,308.72,300.49,325.18,2025-07-28T00:00:00-04:00,325.18,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-07-31T00:00:00-04:00,2025-08-01T00:00:00-04:00,306.205,306.14,306.335,2025-08-01T00:00:00-04:00,306.14,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,308.73,297.86,330.47,2025-08-08T00:00:00-04:00,330.47,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-08-14T00:00:00-04:00,2025-08-15T00:00:00-04:00,337.54,330.575,351.47,2025-08-15T00:00:00-04:00,330.575,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,329.58,327.93,332.88,2025-08-20T00:00:00-04:00,327.93,SL hit,-1.0,loss
TSLA,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,322.125,314.61,337.155,2025-08-22T00:00:00-04:00,337.155,TP hit,2.0,win
TSLA,MeanReversion_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,347.6,340.28,362.24,2025-08-29T00:00:00-04:00,340.28,SL hit,-1.0,loss
