symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TSLA,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,332.97,281.9,435.11,2025-06-17T00:00:00-04:00,316.23,time stop loss,-0.3278,loss
TSLA,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,356.03,315.58,436.93,2025-06-30T00:00:00-04:00,317.76,time stop loss,-0.9461,loss
TSLA,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,307.71,293.57,335.99,2025-07-17T00:00:00-04:00,319.31,time stop win,0.8204,win
TSLA,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,317.66,293.57,365.84,2025-07-18T00:00:00-04:00,329.68,time stop win,0.499,win
TSLA,TwoDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,319.7,300.01,359.08,2025-07-21T00:00:00-04:00,328.56,time stop win,0.45,win
TSLA,TwoDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,334.37,312.82,377.47,2025-07-24T00:00:00-04:00,312.82,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,325.74,300.49,376.24,2025-08-01T00:00:00-04:00,300.49,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,319.83,303.265,352.96,2025-08-13T00:00:00-04:00,339.305,time stop win,1.1757,win
TSLA,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,321.595,305.64,353.505,2025-08-14T00:00:00-04:00,335.67,time stop win,0.8822,win
TSLA,TwoDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,334.675,307.09,389.845,2025-08-15T00:00:00-04:00,330.62,time stop loss,-0.147,loss
TSLA,TwoDayBreakout_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,345.105,316.195,402.925,2025-08-18T00:00:00-04:00,335.09,time stop loss,-0.3464,loss
TSLA,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,338.92,314.61,387.54,2025-08-29T00:00:00-04:00,333.86,time stop loss,-0.2081,loss
TSLA,TwoDayBreakout_D1,2025-08-25T00:00:00-04:00,2025-08-26T00:00:00-04:00,344.82,318.785,396.89,2025-09-02T00:00:00-04:00,329.31,time stop loss,-0.5957,loss
TSLA,TwoDayBreakout_D1,2025-08-26T00:00:00-04:00,2025-08-27T00:00:00-04:00,351.83,319.97,415.55,2025-09-03T00:00:00-04:00,334.07,time stop loss,-0.5574,loss
TSLA,TwoDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,354.935,328.52,407.765,2025-09-12T00:00:00-04:00,396.0,time stop win,1.5546,win
TSLA,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,370.93,343.86,425.07,2025-09-15T00:00:00-04:00,425.07,TP hit,2.0,win
TSLA,TwoDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,423.59,346.24,578.29,2025-09-19T00:00:00-04:00,425.995,time stop win,0.0311,win
TSLA,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,414.27,347.825,547.16,2025-09-22T00:00:00-04:00,434.13,time stop win,0.2989,win
TSLA,TwoDayBreakout_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,428.805,402.46,481.495,2025-09-24T00:00:00-04:00,442.88,time stop win,0.5343,win
TSLA,TwoDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,440.05,416.67,486.81,2025-09-29T00:00:00-04:00,443.385,time stop win,0.1426,win
TSLA,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,442.225,419.13,488.415,2025-10-03T00:00:00-04:00,419.13,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,470.41,433.33,544.57,2025-10-03T00:00:00-04:00,433.33,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,445.65,421.47,494.01,2025-10-23T00:00:00-04:00,421.47,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,454.71,414.0,536.13,2025-11-03T00:00:00-05:00,468.23,time stop win,0.3321,win
TSLA,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,462.605,430.27,527.275,2025-11-04T00:00:00-05:00,443.97,time stop loss,-0.5763,loss
TSLA,TwoDayBreakout_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,454.49,439.75,483.97,2025-11-06T00:00:00-05:00,439.75,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,426.6,401.3,477.2,2025-12-04T00:00:00-05:00,454.595,time stop win,1.1065,win
TSLA,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,425.3,406.01,463.88,2025-12-05T00:00:00-05:00,454.94,time stop win,1.5365,win
TSLA,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,449.83,422.16,505.17,2025-12-10T00:00:00-05:00,451.435,time stop win,0.058,win
TSLA,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,453.245,422.16,515.415,2025-12-11T00:00:00-05:00,446.91,time stop loss,-0.2038,loss
TSLA,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,447.19,431.22,479.13,2025-12-12T00:00:00-05:00,459.16,time stop win,0.7495,win
TSLA,TwoDayBreakout_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,469.505,440.4,527.715,2025-12-19T00:00:00-05:00,481.07,time stop win,0.3974,win
TSLA,TwoDayBreakout_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,472.285,440.4,536.055,2025-12-22T00:00:00-05:00,488.775,time stop win,0.5172,win
TSLA,TwoDayBreakout_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,488.215,441.805,581.035,2025-12-23T00:00:00-05:00,485.66,time stop loss,-0.0551,loss
TSLA,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,441.225,424.485,474.705,2026-01-16T00:00:00-05:00,437.53,time stop loss,-0.2207,loss
TSLA,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,447.49,417.48,507.51,2026-01-29T00:00:00-05:00,417.48,SL hit,-1.0,loss
TSLA,TwoDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,418.245,387.56,479.615,2026-02-17T00:00:00-05:00,410.72,time stop loss,-0.2452,loss
TSLA,TwoDayBreakout_D1,2026-02-10T00:00:00-05:00,2026-02-11T00:00:00-05:00,429.0,397.83,491.34,2026-02-18T00:00:00-05:00,411.36,time stop loss,-0.5659,loss
TSLA,TwoDayBreakout_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,430.315,407.36,476.225,2026-02-17T00:00:00-05:00,407.36,SL hit,-1.0,loss
