symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome,signal_id,entry_notional_usd,risk_to_stop_usd
AAPL,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,203.01,200.17,208.69,2025-06-09T00:00:00-04:00,200.17,SL hit,-1.0,loss,AAPL_MeanReversion_D1_4,203.01,2.8400000000000034
AAPL,MeanReversion_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,200.62,200.045,201.77,2025-06-10T00:00:00-04:00,201.77,TP hit,2.0,win,AAPL_MeanReversion_D1_6,200.62,0.575000000000017
AAPL,MeanReversion_D1,2025-06-11T00:00:00-04:00,2025-06-12T00:00:00-04:00,198.98,198.43,200.08,2025-06-12T00:00:00-04:00,198.43,SL hit,-1.0,loss,AAPL_MeanReversion_D1_8,198.98,0.549999999999983
AAPL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,197.31,195.78,200.37,2025-06-17T00:00:00-04:00,195.78,SL hit,-1.0,loss,AAPL_MeanReversion_D1_10,197.31,1.5300000000000011
AAPL,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,195.875,195.22,197.185,2025-06-18T00:00:00-04:00,195.22,SL hit,-1.0,loss,AAPL_MeanReversion_D1_12,195.875,0.6550000000000011
AAPL,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,210.01,208.835,212.36,2025-07-08T00:00:00-04:00,208.835,SL hit,-1.0,loss,AAPL_MeanReversion_D1_24,210.01,1.174999999999983
AAPL,MeanReversion_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,209.215,207.57,212.505,2025-07-21T00:00:00-04:00,212.505,TP hit,2.0,win,AAPL_MeanReversion_D1_29,209.215,1.6450000000000102
AAPL,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,211.895,210.88,213.925,2025-07-30T00:00:00-04:00,210.88,SL hit,-1.0,loss,AAPL_MeanReversion_D1_40,211.895,1.0150000000000148
AAPL,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,208.425,207.73,209.815,2025-07-31T00:00:00-04:00,207.73,SL hit,-1.0,loss,AAPL_MeanReversion_D1_41,208.425,0.6950000000000216
AAPL,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,204.505,201.5,210.515,2025-08-06T00:00:00-04:00,210.515,TP hit,2.0,win,AAPL_MeanReversion_D1_43,204.505,3.0049999999999955
