signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
MSFT_PrevDayBreakout_D1_2,MSFT,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,464.01,457.34,1.042,0.0,no_slot,3,867.77,15.2,464.01,6.67
MSFT_TwoDayBreakout_D1_2,MSFT,TwoDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,464.01,455.62,0.8284,0.0,no_slot,3,867.77,15.2,464.01,8.39
AAPL_MeanReversion_D1_4,AAPL,MeanReversion_D1,2025-06-06 04:00:00+00:00,2025-06-09 04:00:00+00:00,203.01,200.17,-1.0,0.0,no_slot,3,867.77,15.2,203.01,2.84
MSFT_PrevDayBreakout_D1_4,MSFT,PrevDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,470.085,463.04,1.2512,0.0,no_slot,3,867.77,15.2,470.085,7.045
MSFT_TwoDayBreakout_D1_4,MSFT,TwoDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,470.085,460.93,0.9629,0.0,no_slot,3,867.77,15.2,470.085,9.155
TSLA_MeanReversion_D1_4,TSLA,MeanReversion_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,298.83,273.33,0.7969,-1.0,no_slot,3,867.77,15.2,298.83,25.5
MSFT_TwoDayBreakout_D1_5,MSFT,TwoDayBreakout_D1,2025-06-09 04:00:00+00:00,2025-06-13 04:00:00+00:00,469.68,463.04,0.7831,0.0,no_capital,2,672.6,11.63,469.68,6.64
TSLA_PrevDayBreakout_D1_6,TSLA,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,315.01,291.23,0.5925,0.0,risk_cap,1,469.68,5.53,315.01,23.78
TSLA_PrevDayBreakout_D1_7,TSLA,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,332.97,281.9,-0.3278,0.0,risk_cap,1,469.68,5.53,332.97,51.07
TSLA_TwoDayBreakout_D1_7,TSLA,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,332.97,281.9,-0.3278,0.0,risk_cap,1,469.68,5.53,332.97,51.07
AAPL_MeanReversion_D1_8,AAPL,MeanReversion_D1,2025-06-12 04:00:00+00:00,2025-06-12 04:00:00+00:00,198.98,198.43,-1.0,0.5,no_capital,2,944.87,13.67,198.98,0.55
MSFT_TwoDayBreakout_D1_9,MSFT,TwoDayBreakout_D1,2025-06-13 04:00:00+00:00,2025-06-20 04:00:00+00:00,475.81,467.05,0.1701,0.89565,no_capital,2,951.0,14.06,475.81,8.76
AAPL_MeanReversion_D1_10,AAPL,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-17 04:00:00+00:00,197.31,195.78,-1.0,0.0,no_capital,2,951.0,14.06,197.31,1.53
MSFT_PrevDayBreakout_D1_11,MSFT,PrevDayBreakout_D1,2025-06-17 04:00:00+00:00,2025-06-18 04:00:00+00:00,475.33,472.92,2.0,1.230925,no_capital,2,951.0,14.06,475.33,2.41
MSFT_PrevDayBreakout_D1_15,MSFT,PrevDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-30 04:00:00+00:00,488.95,476.92,0.7066,0.847788,risk_cap,2,403.25,13.11,488.95,12.03
MSFT_TwoDayBreakout_D1_15,MSFT,TwoDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-30 04:00:00+00:00,488.95,475.26,0.6209,0.686125,risk_cap,2,403.25,13.11,488.95,13.69
TSLA_PrevDayBreakout_D1_15,TSLA,PrevDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-27 04:00:00+00:00,356.03,317.93,-1.0,0.13235,risk_cap,2,403.25,13.11,356.03,38.1
TSLA_TwoDayBreakout_D1_15,TSLA,TwoDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-30 04:00:00+00:00,356.03,315.58,-0.9461,-0.3278,risk_cap,2,403.25,13.11,356.03,40.45
MSFT_PrevDayBreakout_D1_16,MSFT,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,491.83,472.56,0.014,0.847788,risk_cap,2,403.25,13.11,491.83,19.27
MSFT_TwoDayBreakout_D1_16,MSFT,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,491.83,472.56,0.014,0.686125,risk_cap,2,403.25,13.11,491.83,19.27
MSFT_TwoDayBreakout_D1_17,MSFT,TwoDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,493.255,472.56,-0.1046,0.686125,no_slot,3,896.505,19.555,493.255,20.695
TSLA_MeanReversion_D1_17,TSLA,MeanReversion_D1,2025-06-26 04:00:00+00:00,2025-06-27 04:00:00+00:00,324.695,320.45,-1.0,0.598967,no_slot,3,896.505,19.555,324.695,4.245
MSFT_TwoDayBreakout_D1_18,MSFT,TwoDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,497.31,486.81,0.1357,0.686125,no_capital,2,990.565,14.285,497.31,10.5
AAPL_TwoDayBreakout_D1_20,AAPL,TwoDayBreakout_D1,2025-07-01 04:00:00+00:00,2025-07-08 04:00:00+00:00,206.725,199.46,0.4639,-0.0635,no_capital,2,990.565,14.285,206.725,7.265
AAPL_PrevDayBreakout_D1_20,AAPL,PrevDayBreakout_D1,2025-07-01 04:00:00+00:00,2025-07-08 04:00:00+00:00,206.725,200.2,0.5165,-0.54385,no_capital,2,990.565,14.285,206.725,6.525
AAPL_TwoDayBreakout_D1_21,AAPL,TwoDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-09 04:00:00+00:00,208.995,199.27,0.2195,-0.0635,risk_cap,1,312.575,19.255,208.995,9.725
