signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
MSFT_PrevDayBreakout_D1_1,MSFT,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,461.93,455.62,474.55,2025-06-09 04:00:00+00:00,472.595,time stop win,win,1.6902,1.0,461.93,6.31,0.0
TSLA_MeanReversion_D1_1,TSLA,MeanReversion_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,346.595,333.38,373.025,2025-06-04 04:00:00+00:00,333.38,SL hit,loss,-1.0,1.0,346.595,13.215,0.0
AAPL_PrevDayBreakout_D1_2,AAPL,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,202.92,200.13,208.5,2025-06-09 04:00:00+00:00,200.13,SL hit,loss,-1.0,1.0,202.92,2.79,0.0
AAPL_TwoDayBreakout_D1_2,AAPL,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,202.92,196.82,215.12,2025-06-10 04:00:00+00:00,202.68,time stop loss,loss,-0.0393,1.0,202.92,6.1,0.0
MSFT_PrevDayBreakout_D1_5,MSFT,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09 04:00:00+00:00,469.68,464.15,480.74,2025-06-13 04:00:00+00:00,474.88,time stop win,win,0.9403,1.0,469.68,5.53,0.0
AAPL_MeanReversion_D1_6,AAPL,MeanReversion_D1,2025-06-09T00:00:00-04:00,2025-06-10 04:00:00+00:00,200.62,200.045,201.77,2025-06-10 04:00:00+00:00,201.77,TP hit,win,2.0,1.0,200.62,0.575,-1.0
MSFT_PrevDayBreakout_D1_8,MSFT,PrevDayBreakout_D1,2025-06-11T00:00:00-04:00,2025-06-12 04:00:00+00:00,475.19,467.05,491.47,2025-06-18 04:00:00+00:00,480.13,time stop win,win,0.6069,1.0,475.19,8.14,1.3661
MSFT_PrevDayBreakout_D1_9,MSFT,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,475.81,469.89,487.65,2025-06-20 04:00:00+00:00,477.3,time stop win,win,0.2517,1.0,475.81,5.92,1.3278
TSLA_MeanReversion_D1_12,TSLA,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18 04:00:00+00:00,317.255,314.78,322.205,2025-06-18 04:00:00+00:00,322.205,TP hit,win,2.0,1.0,317.255,2.475,-0.10155
AAPL_MeanReversion_D1_12,AAPL,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18 04:00:00+00:00,195.875,195.22,197.185,2025-06-18 04:00:00+00:00,195.22,SL hit,loss,-1.0,1.0,195.875,0.655,-0.25
MSFT_PrevDayBreakout_D1_13,MSFT,PrevDayBreakout_D1,2025-06-18T00:00:00-04:00,2025-06-20 04:00:00+00:00,482.1,474.08,498.14,2025-06-23 04:00:00+00:00,474.08,SL hit,loss,-1.0,1.0,482.1,8.02,1.2551
AAPL_TwoDayBreakout_D1_14,AAPL,TwoDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,201.625,195.07,214.735,2025-06-27 04:00:00+00:00,201.05,time stop loss,loss,-0.0877,1.0,201.625,6.555,-0.0393
AAPL_PrevDayBreakout_D1_14,AAPL,PrevDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,201.625,195.07,214.735,2025-06-27 04:00:00+00:00,201.05,time stop loss,loss,-0.0877,1.0,201.625,6.555,-1.0
MSFT_PrevDayBreakout_D1_17,MSFT,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26 04:00:00+00:00,493.255,486.81,506.145,2025-07-02 04:00:00+00:00,491.09,time stop loss,loss,-0.3359,1.0,493.255,6.445,0.847788
