symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ARKK,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,79.765,77.665,83.965,2025-12-24T00:00:00-05:00,80.62,time stop win,0.4071,win
ARKK,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,80.365,79.68,81.735,2025-12-26T00:00:00-05:00,79.68,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,78.73,78.43,79.33,2025-12-30T00:00:00-05:00,78.43,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,78.01,77.86,78.31,2025-12-31T00:00:00-05:00,77.86,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,78.145,76.93,80.575,2026-01-05T00:00:00-05:00,80.575,TP hit,2.0,win
ARKK,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,81.24,79.96,83.8,2026-01-09T00:00:00-05:00,79.96,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,82.09,81.75,82.77,2026-01-16T00:00:00-05:00,81.75,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,79.655,79.1,80.765,2026-01-21T00:00:00-05:00,79.1,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,80.67,79.68,82.65,2026-01-27T00:00:00-05:00,79.68,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,78.99,78.7,79.57,2026-01-29T00:00:00-05:00,78.7,SL hit,-1.0,loss
ARKK,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,76.94,76.25,78.32,2026-01-30T00:00:00-05:00,76.25,SL hit,-1.0,loss
