symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
DIA,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,461.275,457.95,467.925,2025-10-02T00:00:00-04:00,465.17,time stop win,1.1714,win
DIA,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,465.125,462.69,469.995,2025-10-10T00:00:00-04:00,462.69,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,458.29,454.73,465.41,2025-10-14T00:00:00-04:00,454.73,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,460.01,457.93,464.17,2025-10-20T00:00:00-04:00,464.17,TP hit,2.0,win
DIA,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,465.645,464.54,467.855,2025-10-23T00:00:00-04:00,467.855,TP hit,2.0,win
DIA,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,470.815,468.84,474.765,2025-11-06T00:00:00-05:00,468.84,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-11-06T00:00:00-05:00,2025-11-07T00:00:00-05:00,468.125,467.85,468.675,2025-11-07T00:00:00-05:00,467.85,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,470.87,468.94,474.73,2025-11-17T00:00:00-05:00,468.94,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,461.51,459.53,465.47,2025-11-19T00:00:00-05:00,459.53,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,459.2,457.73,462.14,2025-11-21T00:00:00-05:00,462.14,TP hit,2.0,win
DIA,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,474.48,472.96,477.52,2025-12-03T00:00:00-05:00,477.52,TP hit,2.0,win
DIA,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,477.99,477.0,479.97,2025-12-09T00:00:00-05:00,477.0,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,482.655,480.48,487.005,2025-12-17T00:00:00-05:00,480.48,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,482.08,479.5,487.24,2025-12-18T00:00:00-05:00,479.5,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,484.58,483.78,486.18,2025-12-30T00:00:00-05:00,483.78,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,483.65,482.82,485.31,2025-12-31T00:00:00-05:00,482.82,SL hit,-1.0,loss
DIA,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,481.35,480.37,483.31,2026-01-02T00:00:00-05:00,480.37,SL hit,-1.0,loss
DIA,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,485.575,484.245,488.235,2026-01-21T00:00:00-05:00,488.235,TP hit,2.0,win
DIA,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,491.86,489.67,496.24,2026-01-27T00:00:00-05:00,489.67,SL hit,-1.0,loss
DIA,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,490.235,488.665,493.375,2026-01-29T00:00:00-05:00,488.665,SL hit,-1.0,loss
