symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
DIA,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,482.21,480.475,485.68,2025-12-24T00:00:00-05:00,485.68,TP hit,2.0,win
DIA,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,486.91,482.21,496.31,2025-12-31T00:00:00-05:00,482.21,SL hit,-1.0,loss
DIA,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,484.52,480.37,492.82,2026-01-06T00:00:00-05:00,492.82,TP hit,2.0,win
DIA,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,489.37,478.39,511.33,2026-01-12T00:00:00-05:00,495.87,time stop win,0.592,win
DIA,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,495.475,484.52,517.385,2026-01-13T00:00:00-05:00,491.89,time stop loss,-0.3272,loss
DIA,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,492.31,487.84,501.25,2026-01-16T00:00:00-05:00,493.405,time stop win,0.245,win
DIA,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,495.57,491.91,502.89,2026-01-13T00:00:00-05:00,491.91,SL hit,-1.0,loss
DIA,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,494.5,488.615,506.27,2026-01-20T00:00:00-05:00,488.615,SL hit,-1.0,loss
DIA,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,493.44,484.245,511.83,2026-01-28T00:00:00-05:00,490.07,time stop loss,-0.3665,loss
DIA,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,491.835,485.575,504.355,2026-01-29T00:00:00-05:00,490.315,time stop loss,-0.2428,loss
DIA,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,490.69,489.67,492.73,2026-01-27T00:00:00-05:00,489.67,SL hit,-1.0,loss
