symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
EEM,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,54.13,54.025,54.34,2025-10-08T00:00:00-04:00,54.34,TP hit,2.0,win
EEM,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,53.96,53.81,54.26,2025-10-10T00:00:00-04:00,53.81,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,53.44,51.825,56.67,2025-10-17T00:00:00-04:00,54.18,time stop win,0.4582,win
EEM,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,53.85,52.535,56.48,2025-10-21T00:00:00-04:00,54.315,time stop win,0.3536,win
EEM,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,54.43,54.315,54.66,2025-10-22T00:00:00-04:00,54.315,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,54.49,54.01,55.45,2025-10-27T00:00:00-04:00,55.45,TP hit,2.0,win
EEM,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,55.34,55.32,55.38,2025-10-31T00:00:00-04:00,55.32,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,55.69,55.04,56.99,2025-11-04T00:00:00-05:00,55.04,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,54.64,54.61,54.7,2025-11-05T00:00:00-05:00,54.7,TP hit,2.0,win
EEM,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,53.84,53.675,54.17,2025-11-19T00:00:00-05:00,53.675,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,54.57,54.105,55.5,2025-12-15T00:00:00-05:00,54.105,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,53.255,52.77,54.225,2025-12-17T00:00:00-05:00,52.77,SL hit,-1.0,loss
EEM,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,53.28,52.58,54.68,2025-12-24T00:00:00-05:00,54.4,time stop win,1.6,win
EEM,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,55.89,54.675,58.32,2026-01-08T00:00:00-05:00,56.85,time stop win,0.7901,win
EEM,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,58.0,57.24,59.52,2026-01-27T00:00:00-05:00,59.52,TP hit,2.0,win
