symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
EFA,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,92.3,91.53,93.84,2025-10-01T00:00:00-04:00,93.84,TP hit,2.0,win
EFA,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,94.785,94.44,95.475,2025-10-09T00:00:00-04:00,94.44,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,92.65,92.12,93.71,2025-10-15T00:00:00-04:00,93.71,TP hit,2.0,win
EFA,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,94.615,94.555,94.735,2025-10-22T00:00:00-04:00,94.555,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,94.625,94.06,95.755,2025-10-28T00:00:00-04:00,95.755,TP hit,2.0,win
EFA,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,94.565,94.135,95.425,2025-11-04T00:00:00-05:00,94.135,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,93.67,93.445,94.12,2025-11-05T00:00:00-05:00,94.12,TP hit,2.0,win
EFA,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,92.71,92.3,93.53,2025-11-19T00:00:00-05:00,92.3,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,92.07,91.215,93.78,2025-11-25T00:00:00-05:00,93.78,TP hit,2.0,win
EFA,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,95.55,95.37,95.91,2025-12-09T00:00:00-05:00,95.37,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,97.32,96.15,99.66,2025-12-16T00:00:00-05:00,96.15,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,94.73,94.6,94.99,2025-12-17T00:00:00-05:00,94.6,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,94.96,94.135,96.61,2025-12-24T00:00:00-05:00,96.4,time stop win,1.7455,win
EFA,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,96.605,96.055,97.705,2025-12-31T00:00:00-05:00,96.055,SL hit,-1.0,loss
EFA,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,97.035,95.93,99.245,2026-01-08T00:00:00-05:00,97.93,time stop win,0.81,win
EFA,MeanReversion_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,99.21,98.67,100.29,2026-01-20T00:00:00-05:00,98.67,SL hit,-1.0,loss
EFA,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,98.25,97.88,98.99,2026-01-21T00:00:00-05:00,98.99,TP hit,2.0,win
EFA,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,102.01,100.58,104.87,2026-01-29T00:00:00-05:00,100.58,SL hit,-1.0,loss
