symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
EFA,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,95.47,94.135,98.14,2025-12-29T00:00:00-05:00,96.305,time stop win,0.6255,win
EFA,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,96.315,95.215,98.515,2025-12-31T00:00:00-05:00,96.01,time stop loss,-0.2773,loss
EFA,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,96.29,96.165,96.54,2025-12-29T00:00:00-05:00,96.165,SL hit,-1.0,loss
EFA,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,97.24,95.93,99.86,2026-01-09T00:00:00-05:00,98.805,time stop win,1.1947,win
EFA,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,98.3,95.93,103.04,2026-01-12T00:00:00-05:00,99.415,time stop win,0.4705,win
EFA,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,98.14,96.52,101.38,2026-01-13T00:00:00-05:00,98.86,time stop win,0.4444,win
EFA,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,99.155,97.53,102.405,2026-01-16T00:00:00-05:00,99.53,time stop win,0.2308,win
EFA,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,99.23,97.53,102.63,2026-01-20T00:00:00-05:00,98.04,time stop loss,-0.7,loss
EFA,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,99.18,97.88,101.78,2026-01-27T00:00:00-05:00,101.78,TP hit,2.0,win
EFA,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,100.56,97.9,105.88,2026-01-30T00:00:00-05:00,100.72,time stop win,0.0602,win
EFA,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,101.44,99.01,106.3,2026-01-30T00:00:00-05:00,100.72,time stop loss,-0.2963,loss
EFA,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,101.185,99.01,105.535,2026-01-30T00:00:00-05:00,100.72,time stop loss,-0.2138,loss
