symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IEMG,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,67.95,67.46,68.93,2025-11-06T00:00:00-05:00,67.46,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,68.38,66.475,72.19,2025-11-17T00:00:00-05:00,67.055,time stop loss,-0.6955,loss
IEMG,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,68.57,67.96,69.79,2025-11-13T00:00:00-05:00,67.96,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,66.16,64.73,69.02,2025-12-02T00:00:00-05:00,67.04,time stop win,0.6154,win
IEMG,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,66.74,65.6,69.02,2025-12-03T00:00:00-05:00,67.095,time stop win,0.3114,win
IEMG,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,66.91,65.7,69.33,2025-12-04T00:00:00-05:00,67.07,time stop win,0.1322,win
IEMG,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,66.88,66.59,67.46,2025-12-05T00:00:00-05:00,67.46,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,67.52,66.91,68.74,2025-12-12T00:00:00-05:00,66.91,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,67.425,66.965,68.345,2025-12-12T00:00:00-05:00,66.965,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,66.405,65.34,68.535,2025-12-29T00:00:00-05:00,67.21,time stop win,0.7559,win
IEMG,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,66.335,65.82,67.365,2025-12-26T00:00:00-05:00,67.365,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,66.895,66.285,68.115,2025-12-31T00:00:00-05:00,67.23,time stop win,0.5492,win
IEMG,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,67.12,66.33,68.7,2026-01-02T00:00:00-05:00,68.7,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,66.95,66.855,67.14,2025-12-29T00:00:00-05:00,67.14,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,67.44,66.94,68.44,2026-01-02T00:00:00-05:00,68.44,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,69.345,67.22,73.595,2026-01-09T00:00:00-05:00,70.045,time stop win,0.3294,win
IEMG,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,70.08,68.535,73.17,2026-01-12T00:00:00-05:00,70.945,time stop win,0.5599,win
IEMG,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,69.93,69.125,71.54,2026-01-13T00:00:00-05:00,70.465,time stop win,0.6646,win
IEMG,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,70.15,69.46,71.53,2026-01-16T00:00:00-05:00,70.92,time stop win,1.1159,win
IEMG,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,70.725,69.56,73.055,2026-01-20T00:00:00-05:00,70.37,time stop loss,-0.3047,loss
IEMG,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,71.05,70.42,72.31,2026-01-20T00:00:00-05:00,70.42,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,71.895,70.275,75.135,2026-01-28T00:00:00-05:00,74.45,time stop win,1.5772,win
IEMG,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,71.805,71.01,73.395,2026-01-27T00:00:00-05:00,73.395,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,72.47,71.71,73.99,2026-01-27T00:00:00-05:00,73.99,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,73.45,71.655,77.04,2026-01-30T00:00:00-05:00,72.59,time stop loss,-0.4791,loss
IEMG,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,74.57,72.435,78.84,2026-01-30T00:00:00-05:00,72.435,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,74.6,73.41,76.98,2026-01-29T00:00:00-05:00,73.41,SL hit,-1.0,loss
