symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ITA,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,204.63,201.8,210.29,2025-09-25T00:00:00-04:00,201.8,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,206.81,202.47,215.49,2025-09-25T00:00:00-04:00,202.47,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,208.01,201.48,221.07,2025-10-03T00:00:00-04:00,209.66,time stop win,0.2527,win
ITA,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,208.3,204.53,215.84,2025-10-07T00:00:00-04:00,212.98,time stop win,1.2414,win
ITA,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,213.61,208.26,224.31,2025-10-10T00:00:00-04:00,208.26,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,214.09,210.54,221.19,2025-10-10T00:00:00-04:00,210.54,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,215.63,211.84,223.21,2025-10-09T00:00:00-04:00,211.84,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,212.51,207.61,222.31,2025-10-15T00:00:00-04:00,207.61,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,211.845,204.11,227.315,2025-10-27T00:00:00-04:00,218.75,time stop win,0.8927,win
ITA,PrevDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,213.78,208.84,223.66,2025-10-28T00:00:00-04:00,217.52,time stop win,0.7571,win
ITA,PrevDayBreakout_D1,2025-10-23T00:00:00-04:00,2025-10-24T00:00:00-04:00,217.59,208.93,234.91,2025-10-30T00:00:00-04:00,215.2,time stop loss,-0.276,loss
ITA,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,217.95,211.0,231.85,2025-10-31T00:00:00-04:00,215.72,time stop loss,-0.3209,loss
ITA,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,219.72,216.12,226.92,2025-10-29T00:00:00-04:00,216.12,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,210.82,204.205,224.05,2025-11-14T00:00:00-05:00,204.205,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,200.685,195.945,210.165,2025-12-02T00:00:00-05:00,201.28,time stop win,0.1255,win
ITA,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,202.99,197.66,213.65,2025-12-03T00:00:00-05:00,201.695,time stop loss,-0.243,loss
ITA,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,203.66,199.69,211.6,2025-12-01T00:00:00-05:00,199.69,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,204.13,199.86,212.67,2025-12-11T00:00:00-05:00,208.26,time stop win,0.9672,win
ITA,PrevDayBreakout_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,204.92,200.8,213.16,2025-12-15T00:00:00-05:00,209.81,time stop win,1.1869,win
ITA,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,209.71,201.96,225.21,2025-12-18T00:00:00-05:00,208.32,time stop loss,-0.1794,loss
ITA,PrevDayBreakout_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,210.24,204.67,221.38,2025-12-17T00:00:00-05:00,204.67,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,215.91,207.18,233.37,2025-12-29T00:00:00-05:00,216.84,time stop win,0.1065,win
ITA,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,219.47,209.88,238.65,2025-12-30T00:00:00-05:00,216.22,time stop loss,-0.3389,loss
ITA,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,219.91,214.935,229.86,2025-12-31T00:00:00-05:00,214.935,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,224.46,214.61,244.16,2026-01-09T00:00:00-05:00,232.89,time stop win,0.8558,win
ITA,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,227.465,213.62,255.155,2026-01-12T00:00:00-05:00,236.52,time stop win,0.654,win
ITA,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,230.445,224.46,242.415,2026-01-13T00:00:00-05:00,237.71,time stop win,1.2139,win
ITA,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,239.46,228.67,261.04,2026-01-20T00:00:00-05:00,237.86,time stop loss,-0.1483,loss
ITA,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,237.195,233.57,244.445,2026-01-16T00:00:00-05:00,244.445,TP hit,2.0,win
ITA,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,242.77,235.02,258.27,2026-01-23T00:00:00-05:00,235.02,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,242.0,238.57,248.86,2026-01-20T00:00:00-05:00,238.57,SL hit,-1.0,loss
ITA,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,236.23,232.71,243.27,2026-01-28T00:00:00-05:00,232.71,SL hit,-1.0,loss
