symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWD,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,204.06,202.14,207.9,2025-11-07T00:00:00-05:00,202.14,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,206.405,202.06,215.095,2025-11-17T00:00:00-05:00,202.06,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,207.545,204.305,214.025,2025-11-14T00:00:00-05:00,204.305,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,207.5,205.99,210.52,2025-11-13T00:00:00-05:00,205.99,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,205.2,200.605,214.39,2025-12-02T00:00:00-05:00,208.47,time stop win,0.7116,win
IWD,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,207.45,203.0,216.35,2025-12-03T00:00:00-05:00,210.3,time stop win,0.6404,win
IWD,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,208.975,204.83,217.265,2025-12-04T00:00:00-05:00,210.255,time stop win,0.3088,win
IWD,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,208.97,207.36,212.19,2025-12-05T00:00:00-05:00,210.505,time stop win,0.9534,win
IWD,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,210.53,207.86,215.87,2025-12-10T00:00:00-05:00,211.43,time stop win,0.3371,win
IWD,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,211.615,208.6,217.645,2025-12-17T00:00:00-05:00,208.6,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,213.53,208.69,223.21,2025-12-16T00:00:00-05:00,208.69,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,211.28,209.48,214.88,2025-12-30T00:00:00-05:00,211.88,time stop win,0.3333,win
IWD,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,211.78,210.65,214.04,2025-12-31T00:00:00-05:00,210.65,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,212.61,211.22,215.39,2025-12-31T00:00:00-05:00,211.22,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,213.2,210.28,219.04,2026-01-09T00:00:00-05:00,217.59,time stop win,1.5034,win
IWD,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,214.605,210.16,223.495,2026-01-12T00:00:00-05:00,217.71,time stop win,0.6985,win
IWD,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,216.76,213.2,223.88,2026-01-13T00:00:00-05:00,217.5,time stop win,0.2079,win
IWD,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,216.59,214.23,221.31,2026-01-16T00:00:00-05:00,219.0,time stop win,1.0212,win
IWD,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,219.475,217.06,224.305,2026-01-20T00:00:00-05:00,217.06,SL hit,-1.0,loss
IWD,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,219.935,215.57,228.665,2026-01-28T00:00:00-05:00,219.225,time stop loss,-0.1627,loss
IWD,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,219.765,218.77,221.755,2026-01-30T00:00:00-05:00,218.77,SL hit,-1.0,loss
