symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWD,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,206.405,202.06,215.095,2025-11-17T00:00:00-05:00,202.06,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,207.545,202.06,218.515,2025-11-17T00:00:00-05:00,202.06,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,207.5,204.305,213.89,2025-11-14T00:00:00-05:00,204.305,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,207.45,200.605,221.14,2025-12-03T00:00:00-05:00,210.3,time stop win,0.4164,win
IWD,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,208.975,203.0,220.925,2025-12-04T00:00:00-05:00,210.255,time stop win,0.2142,win
IWD,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,208.97,204.83,217.25,2025-12-05T00:00:00-05:00,210.505,time stop win,0.3708,win
IWD,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,210.53,207.86,215.87,2025-12-10T00:00:00-05:00,211.43,time stop win,0.3371,win
IWD,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,211.615,208.6,217.645,2025-12-17T00:00:00-05:00,208.6,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,213.53,208.6,223.39,2025-12-17T00:00:00-05:00,208.6,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,211.28,208.66,216.52,2025-12-30T00:00:00-05:00,211.88,time stop win,0.229,win
IWD,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,211.78,209.48,216.38,2025-12-31T00:00:00-05:00,210.315,time stop loss,-0.637,loss
IWD,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,212.61,210.65,216.53,2025-12-31T00:00:00-05:00,210.65,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,214.605,210.16,223.495,2026-01-12T00:00:00-05:00,217.71,time stop win,0.6985,win
IWD,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,216.76,210.16,229.96,2026-01-13T00:00:00-05:00,217.5,time stop win,0.1121,win
IWD,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,216.59,214.18,221.41,2026-01-16T00:00:00-05:00,219.0,time stop win,1.0,win
IWD,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,219.475,216.96,224.505,2026-01-20T00:00:00-05:00,216.96,SL hit,-1.0,loss
IWD,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,219.765,218.63,222.035,2026-01-30T00:00:00-05:00,218.63,SL hit,-1.0,loss
