symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWF,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,468.81,466.76,472.91,2025-09-24T00:00:00-04:00,466.76,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,463.155,459.78,469.905,2025-10-01T00:00:00-04:00,469.905,TP hit,2.0,win
IWF,MeanReversion_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,471.445,468.67,476.995,2025-10-07T00:00:00-04:00,468.67,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,471.77,468.63,478.05,2025-10-10T00:00:00-04:00,468.63,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,466.8,459.39,481.62,2025-10-17T00:00:00-04:00,467.14,time stop win,0.0459,win
IWF,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,469.115,459.92,487.505,2025-10-21T00:00:00-04:00,472.39,time stop win,0.3562,win
IWF,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,469.075,465.13,476.965,2025-10-24T00:00:00-04:00,476.965,TP hit,2.0,win
IWF,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,490.12,484.02,502.32,2025-10-31T00:00:00-04:00,484.02,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,479.175,479.03,479.465,2025-11-05T00:00:00-05:00,479.03,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,461.3,457.09,469.72,2025-11-20T00:00:00-05:00,457.09,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,456.36,454.28,460.52,2025-11-21T00:00:00-05:00,454.28,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,474.095,469.3,483.685,2025-12-15T00:00:00-05:00,469.3,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,466.95,461.225,478.4,2025-12-23T00:00:00-05:00,478.4,TP hit,2.0,win
IWF,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,477.73,476.57,480.05,2025-12-31T00:00:00-05:00,476.57,SL hit,-1.0,loss
IWF,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,477.075,473.12,484.985,2026-01-02T00:00:00-05:00,473.12,SL hit,-1.0,loss
IWF,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,474.72,469.35,485.46,2026-01-09T00:00:00-05:00,476.1,time stop win,0.257,win
IWF,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,473.845,471.58,478.375,2026-01-12T00:00:00-05:00,478.375,TP hit,2.0,win
IWF,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,474.055,466.425,489.315,2026-01-20T00:00:00-05:00,466.425,SL hit,-1.0,loss
IWF,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,459.46,457.91,462.56,2026-01-21T00:00:00-05:00,457.91,SL hit,-1.0,loss
IWF,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,467.945,461.12,481.595,2026-01-30T00:00:00-05:00,466.2,time stop loss,-0.2557,loss
