symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWF,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,476.47,461.225,506.96,2025-12-29T00:00:00-05:00,477.73,time stop win,0.0827,win
IWF,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,476.045,465.61,496.915,2025-12-30T00:00:00-05:00,476.92,time stop win,0.0839,win
IWF,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,479.23,469.445,498.8,2025-12-31T00:00:00-05:00,473.12,time stop loss,-0.6244,loss
IWF,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,480.92,474.91,492.94,2025-12-31T00:00:00-05:00,474.91,SL hit,-1.0,loss
IWF,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,476.23,472.51,483.67,2026-01-08T00:00:00-05:00,472.51,SL hit,-1.0,loss
IWF,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,476.735,471.58,487.045,2026-01-14T00:00:00-05:00,471.58,SL hit,-1.0,loss
IWF,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,465.895,457.26,483.165,2026-01-29T00:00:00-05:00,469.57,time stop win,0.4256,win
IWF,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,468.5,457.26,490.98,2026-01-30T00:00:00-05:00,466.2,time stop loss,-0.2046,loss
IWF,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,473.575,464.38,491.965,2026-01-29T00:00:00-05:00,464.38,SL hit,-1.0,loss
IWF,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,475.49,465.01,496.45,2026-01-29T00:00:00-05:00,465.01,SL hit,-1.0,loss
