symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWM,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,242.83,237.615,253.26,2025-10-03T00:00:00-04:00,245.875,time stop win,0.5839,win
IWM,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,243.01,239.4,250.23,2025-10-08T00:00:00-04:00,246.66,time stop win,1.0111,win
IWM,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,245.33,240.555,254.88,2025-10-09T00:00:00-04:00,245.13,time stop loss,-0.0419,loss
IWM,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,247.725,241.475,260.225,2025-10-10T00:00:00-04:00,241.475,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,250.41,241.425,268.38,2025-10-21T00:00:00-04:00,246.97,time stop loss,-0.3829,loss
IWM,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,250.97,240.42,272.07,2025-10-22T00:00:00-04:00,243.43,time stop loss,-0.7147,loss
IWM,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,247.44,241.5,259.32,2025-10-22T00:00:00-04:00,241.5,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,251.785,243.71,267.935,2025-10-31T00:00:00-04:00,246.27,time stop loss,-0.683,loss
IWM,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,244.215,241.0,250.645,2025-11-06T00:00:00-05:00,241.0,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,243.375,236.28,257.565,2025-11-13T00:00:00-05:00,236.28,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,240.735,229.63,262.945,2025-12-02T00:00:00-05:00,245.19,time stop win,0.4012,win
IWM,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,245.13,235.5,264.39,2025-12-03T00:00:00-05:00,249.64,time stop win,0.4683,win
IWM,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,247.96,240.045,263.79,2025-12-04T00:00:00-05:00,251.81,time stop win,0.4864,win
IWM,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,249.02,245.125,256.81,2025-12-10T00:00:00-05:00,254.84,time stop win,1.4942,win
IWM,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,251.52,245.52,263.52,2025-12-11T00:00:00-05:00,257.78,time stop win,1.0433,win
IWM,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,254.63,250.105,263.68,2025-12-16T00:00:00-05:00,250.105,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,258.02,250.54,272.98,2025-12-16T00:00:00-05:00,250.54,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,252.41,249.09,259.05,2025-12-30T00:00:00-05:00,249.09,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,249.785,246.01,257.335,2026-01-08T00:00:00-05:00,257.335,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,252.305,245.865,265.185,2026-01-12T00:00:00-05:00,261.5,time stop win,1.4278,win
IWM,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,256.345,249.58,269.875,2026-01-13T00:00:00-05:00,261.355,time stop win,0.7406,win
IWM,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,259.54,253.985,270.65,2026-01-15T00:00:00-05:00,265.48,time stop win,1.0693,win
IWM,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,259.23,254.45,268.79,2026-01-16T00:00:00-05:00,265.75,time stop win,1.364,win
IWM,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,264.07,260.47,271.27,2026-01-22T00:00:00-05:00,271.27,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,265.8,260.215,276.97,2026-01-23T00:00:00-05:00,264.8,time stop loss,-0.1791,loss
IWM,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,269.775,261.09,287.145,2026-01-28T00:00:00-05:00,263.265,time stop loss,-0.7496,loss
IWM,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,268.995,262.95,281.085,2026-01-27T00:00:00-05:00,262.95,SL hit,-1.0,loss
