symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWM,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,240.735,228.9,264.405,2025-12-02T00:00:00-05:00,245.19,time stop win,0.3764,win
IWM,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,245.13,229.63,276.13,2025-12-03T00:00:00-05:00,249.64,time stop win,0.291,win
IWM,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,247.96,235.5,272.88,2025-12-04T00:00:00-05:00,251.81,time stop win,0.309,win
IWM,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,249.02,245.125,256.81,2025-12-10T00:00:00-05:00,254.84,time stop win,1.4942,win
IWM,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,251.52,245.125,264.31,2025-12-11T00:00:00-05:00,257.78,time stop win,0.9789,win
IWM,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,254.63,250.105,263.68,2025-12-16T00:00:00-05:00,250.105,SL hit,-1.0,loss
IWM,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,258.02,250.105,273.85,2025-12-16T00:00:00-05:00,250.105,SL hit,-1.0,loss
IWM,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,252.41,248.24,260.75,2025-12-30T00:00:00-05:00,248.24,SL hit,-1.0,loss
IWM,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,252.305,245.865,265.185,2026-01-12T00:00:00-05:00,261.5,time stop win,1.4278,win
IWM,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,256.345,245.865,277.305,2026-01-13T00:00:00-05:00,261.355,time stop win,0.4781,win
IWM,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,259.54,251.52,275.58,2026-01-15T00:00:00-05:00,265.48,time stop win,0.7406,win
IWM,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,259.23,253.985,269.72,2026-01-16T00:00:00-05:00,265.75,time stop win,1.2431,win
IWM,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,264.07,258.29,275.63,2026-01-22T00:00:00-05:00,269.77,time stop win,0.9862,win
IWM,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,265.8,260.215,276.97,2026-01-23T00:00:00-05:00,264.8,time stop loss,-0.1791,loss
IWM,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,269.775,261.09,287.145,2026-01-28T00:00:00-05:00,263.265,time stop loss,-0.7496,loss
IWM,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,268.995,261.09,284.805,2026-01-29T00:00:00-05:00,261.09,SL hit,-1.0,loss
