symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IYR,MeanReversion_D1,2025-11-13T00:00:00-05:00,2025-11-14T00:00:00-05:00,94.87,94.54,95.53,2025-11-14T00:00:00-05:00,94.54,SL hit,-1.0,loss
IYR,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,94.13,93.995,94.4,2025-11-18T00:00:00-05:00,93.995,SL hit,-1.0,loss
IYR,MeanReversion_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,94.64,93.63,96.66,2025-11-20T00:00:00-05:00,93.63,SL hit,-1.0,loss
IYR,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,93.93,93.6,94.59,2025-11-21T00:00:00-05:00,94.59,TP hit,2.0,win
IYR,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,96.075,95.735,96.755,2025-12-02T00:00:00-05:00,95.735,SL hit,-1.0,loss
IYR,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,95.47,95.155,96.1,2025-12-04T00:00:00-05:00,96.1,TP hit,2.0,win
IYR,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,94.89,94.61,95.45,2025-12-09T00:00:00-05:00,94.61,SL hit,-1.0,loss
IYR,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,94.42,94.12,95.02,2025-12-10T00:00:00-05:00,95.02,TP hit,2.0,win
IYR,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,93.495,93.315,93.855,2025-12-17T00:00:00-05:00,93.855,TP hit,2.0,win
IYR,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,97.23,96.335,99.02,2026-01-21T00:00:00-05:00,96.335,SL hit,-1.0,loss
IYR,MeanReversion_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,95.75,95.725,95.8,2026-01-23T00:00:00-05:00,95.725,SL hit,-1.0,loss
IYR,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,95.68,94.85,97.34,2026-01-30T00:00:00-05:00,96.275,time stop win,0.7169,win
