symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IYR,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,96.565,95.55,98.595,2025-09-30T00:00:00-04:00,97.07,time stop win,0.4975,win
IYR,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,96.62,95.555,98.75,2025-10-03T00:00:00-04:00,97.04,time stop win,0.3944,win
IYR,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,97.06,96.205,98.77,2025-10-02T00:00:00-04:00,96.205,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,96.72,96.33,97.5,2025-10-02T00:00:00-04:00,96.33,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,97.095,96.05,99.185,2025-10-06T00:00:00-04:00,96.05,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,95.58,93.605,99.53,2025-10-21T00:00:00-04:00,97.64,time stop win,1.043,win
IYR,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,96.85,94.06,102.43,2025-10-22T00:00:00-04:00,98.05,time stop win,0.4301,win
IYR,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,97.835,95.97,101.565,2025-10-27T00:00:00-04:00,98.44,time stop win,0.3244,win
IYR,PrevDayBreakout_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,94.91,93.32,98.09,2025-11-11T00:00:00-05:00,96.595,time stop win,1.0597,win
IYR,PrevDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,95.4,94.26,97.68,2025-11-14T00:00:00-05:00,94.89,time stop loss,-0.4474,loss
IYR,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,96.315,94.935,99.075,2025-11-13T00:00:00-05:00,94.935,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,94.93,93.6,97.59,2025-12-01T00:00:00-05:00,95.785,time stop win,0.6429,win
IYR,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,95.97,94.54,98.83,2025-12-03T00:00:00-05:00,95.76,time stop loss,-0.1469,loss
IYR,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,96.43,95.61,98.07,2025-12-02T00:00:00-05:00,95.61,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,94.16,93.205,96.07,2026-01-02T00:00:00-05:00,93.97,time stop loss,-0.199,loss
IYR,PrevDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,94.63,93.88,96.13,2025-12-31T00:00:00-05:00,93.88,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,95.24,93.29,99.14,2026-01-13T00:00:00-05:00,95.44,time stop win,0.1026,win
IYR,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,95.64,94.615,97.69,2026-01-16T00:00:00-05:00,97.69,TP hit,2.0,win
IYR,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,96.74,94.06,102.1,2026-01-22T00:00:00-05:00,95.765,time stop loss,-0.3638,loss
IYR,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,96.775,95.38,99.565,2026-01-23T00:00:00-05:00,95.38,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,97.46,96.51,99.36,2026-01-20T00:00:00-05:00,96.51,SL hit,-1.0,loss
IYR,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,96.02,94.85,98.36,2026-01-30T00:00:00-05:00,96.275,time stop win,0.2179,win
