symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IYR,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,95.4,94.25,97.7,2025-11-14T00:00:00-05:00,94.89,time stop loss,-0.4435,loss
IYR,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,96.315,94.47,100.005,2025-11-14T00:00:00-05:00,94.47,SL hit,-1.0,loss
IYR,TwoDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,94.93,93.6,97.59,2025-12-01T00:00:00-05:00,95.785,time stop win,0.6429,win
IYR,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,95.97,93.84,100.23,2025-12-03T00:00:00-05:00,95.76,time stop loss,-0.0986,loss
IYR,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,96.43,94.54,100.21,2025-12-04T00:00:00-05:00,95.55,time stop loss,-0.4656,loss
IYR,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,94.16,92.74,97.0,2026-01-02T00:00:00-05:00,93.97,time stop loss,-0.1338,loss
IYR,TwoDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,94.63,93.69,96.51,2026-01-02T00:00:00-05:00,93.69,SL hit,-1.0,loss
IYR,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,95.24,93.27,99.18,2026-01-13T00:00:00-05:00,95.44,time stop win,0.1015,win
IYR,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,95.64,94.615,97.69,2026-01-16T00:00:00-05:00,97.69,TP hit,2.0,win
IYR,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,96.74,94.06,102.1,2026-01-22T00:00:00-05:00,95.765,time stop loss,-0.3638,loss
IYR,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,96.775,94.06,102.205,2026-01-23T00:00:00-05:00,96.03,time stop loss,-0.2744,loss
IYR,TwoDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,97.46,95.38,101.62,2026-01-23T00:00:00-05:00,95.38,SL hit,-1.0,loss
IYR,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,96.02,94.85,98.36,2026-01-30T00:00:00-05:00,96.275,time stop win,0.2179,win
