symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IYT,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,71.285,70.97,71.915,2025-09-26T00:00:00-04:00,71.915,TP hit,2.0,win
IYT,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,70.215,69.44,71.765,2025-10-16T00:00:00-04:00,71.765,TP hit,2.0,win
IYT,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,71.06,70.96,71.26,2025-10-23T00:00:00-04:00,70.96,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-10-23T00:00:00-04:00,2025-10-24T00:00:00-04:00,70.55,70.01,71.63,2025-10-28T00:00:00-04:00,71.63,TP hit,2.0,win
IYT,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,71.485,70.49,73.475,2025-11-11T00:00:00-05:00,72.37,time stop win,0.8894,win
IYT,MeanReversion_D1,2025-11-06T00:00:00-05:00,2025-11-07T00:00:00-05:00,70.93,70.68,71.43,2025-11-07T00:00:00-05:00,71.43,TP hit,2.0,win
IYT,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,71.17,70.97,71.57,2025-11-17T00:00:00-05:00,70.97,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,70.18,70.12,70.3,2025-11-18T00:00:00-05:00,70.12,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,68.66,68.095,69.79,2025-11-21T00:00:00-05:00,69.79,TP hit,2.0,win
IYT,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,75.04,75.035,75.05,2025-12-10T00:00:00-05:00,75.035,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,75.92,75.38,77.0,2025-12-16T00:00:00-05:00,75.38,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,75.33,74.91,76.17,2025-12-17T00:00:00-05:00,74.91,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,75.14,74.49,76.44,2025-12-19T00:00:00-05:00,74.49,SL hit,-1.0,loss
IYT,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,75.28,75.15,75.54,2025-12-24T00:00:00-05:00,75.54,TP hit,2.0,win
IYT,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,75.075,74.86,75.505,2025-12-31T00:00:00-05:00,74.86,SL hit,-1.0,loss
IYT,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,76.755,75.53,79.205,2026-01-27T00:00:00-05:00,76.485,time stop loss,-0.2204,loss
IYT,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,76.87,76.71,77.19,2026-01-26T00:00:00-05:00,76.71,SL hit,-1.0,loss
IYT,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,76.565,76.32,77.055,2026-01-28T00:00:00-05:00,76.32,SL hit,-1.0,loss
IYT,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,76.6,75.75,78.3,2026-01-30T00:00:00-05:00,76.56,time stop loss,-0.0471,loss
