symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IYT,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,71.97,70.97,73.97,2025-09-30T00:00:00-04:00,70.97,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,72.6,71.09,75.62,2025-10-10T00:00:00-04:00,71.09,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,73.37,71.18,77.75,2025-10-10T00:00:00-04:00,71.18,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,72.13,70.01,76.37,2025-11-03T00:00:00-05:00,72.46,time stop win,0.1557,win
IYT,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,71.985,70.68,74.595,2025-11-17T00:00:00-05:00,70.68,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,72.89,71.51,75.65,2025-11-14T00:00:00-05:00,71.51,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,71.54,68.45,77.72,2025-12-03T00:00:00-05:00,75.25,time stop win,1.2006,win
IYT,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,72.6,69.79,78.22,2025-12-04T00:00:00-05:00,75.38,time stop win,0.9893,win
IYT,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,72.84,70.72,77.08,2025-12-05T00:00:00-05:00,75.79,time stop win,1.3915,win
IYT,TwoDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,74.79,72.6,79.17,2025-12-09T00:00:00-05:00,75.035,time stop win,0.1119,win
IYT,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,75.345,72.46,81.115,2025-12-10T00:00:00-05:00,75.82,time stop win,0.1646,win
IYT,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,76.05,74.52,79.11,2025-12-10T00:00:00-05:00,74.52,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,76.775,74.52,81.285,2025-12-17T00:00:00-05:00,74.52,SL hit,-1.0,loss
IYT,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,75.71,74.27,78.59,2025-12-30T00:00:00-05:00,74.97,time stop loss,-0.5139,loss
IYT,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,75.02,74.49,76.08,2026-01-05T00:00:00-05:00,76.08,TP hit,2.0,win
IYT,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,76.57,74.41,80.89,2026-01-12T00:00:00-05:00,77.78,time stop win,0.5602,win
IYT,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,78.34,74.41,86.2,2026-01-13T00:00:00-05:00,77.48,time stop loss,-0.2188,loss
IYT,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,78.12,76.8,80.76,2026-01-20T00:00:00-05:00,76.8,SL hit,-1.0,loss
