symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
KRE,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,64.345,63.75,65.535,2025-09-24T00:00:00-04:00,63.75,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-09-24T00:00:00-04:00,2025-09-25T00:00:00-04:00,63.63,63.595,63.7,2025-09-25T00:00:00-04:00,63.595,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,63.51,63.125,64.28,2025-09-30T00:00:00-04:00,63.125,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,63.19,63.16,63.25,2025-10-09T00:00:00-04:00,63.16,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,63.15,62.565,64.32,2025-10-10T00:00:00-04:00,62.565,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,61.17,60.165,63.18,2025-10-14T00:00:00-04:00,63.18,TP hit,2.0,win
KRE,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,58.96,57.555,61.77,2025-10-23T00:00:00-04:00,60.17,time stop win,0.8612,win
KRE,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,59.67,59.44,60.13,2025-10-30T00:00:00-04:00,60.13,TP hit,2.0,win
KRE,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,66.77,66.64,67.03,2025-12-24T00:00:00-05:00,66.64,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,66.025,65.825,66.425,2025-12-30T00:00:00-05:00,65.825,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,65.56,65.385,65.91,2025-12-31T00:00:00-05:00,65.385,SL hit,-1.0,loss
KRE,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,64.91,64.795,65.14,2026-01-02T00:00:00-05:00,64.795,SL hit,-1.0,loss
KRE,MeanReversion_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,66.86,66.33,67.92,2026-01-13T00:00:00-05:00,66.33,SL hit,-1.0,loss
KRE,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,67.695,66.735,69.615,2026-01-21T00:00:00-05:00,69.615,TP hit,2.0,win
KRE,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,67.745,67.455,68.325,2026-01-26T00:00:00-05:00,67.455,SL hit,-1.0,loss
