symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
KRE,PrevDayBreakout_D1,2025-05-27T00:00:00-04:00,2025-05-28T00:00:00-04:00,57.615,55.4,62.045,2025-06-03T00:00:00-04:00,57.35,time stop loss,-0.1196,loss
KRE,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,57.33,55.61,60.77,2025-06-10T00:00:00-04:00,58.935,time stop win,0.9331,win
KRE,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,58.305,56.12,62.675,2025-06-13T00:00:00-04:00,56.24,time stop loss,-0.9451,loss
KRE,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,58.41,57.295,60.64,2025-06-12T00:00:00-04:00,57.295,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,59.13,58.11,61.17,2025-06-11T00:00:00-04:00,58.11,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,56.94,55.66,59.5,2025-06-26T00:00:00-04:00,59.5,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,56.395,55.585,58.015,2025-06-24T00:00:00-04:00,58.015,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,58.38,56.6,61.94,2025-06-30T00:00:00-04:00,59.44,time stop win,0.5955,win
KRE,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,58.32,56.19,62.58,2025-07-01T00:00:00-04:00,61.41,time stop win,1.4507,win
KRE,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,59.68,57.87,63.3,2025-07-03T00:00:00-04:00,63.3,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,61.68,59.43,66.18,2025-07-09T00:00:00-04:00,63.12,time stop win,0.64,win
KRE,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,62.855,59.09,70.385,2025-07-10T00:00:00-04:00,63.55,time stop win,0.1846,win
KRE,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,62.84,61.28,65.96,2025-07-11T00:00:00-04:00,62.9,time stop win,0.0385,win
KRE,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,63.435,62.74,64.825,2025-07-15T00:00:00-04:00,62.74,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,63.57,60.68,69.35,2025-07-24T00:00:00-04:00,62.17,time stop loss,-0.4844,loss
KRE,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,63.48,61.845,66.75,2025-07-25T00:00:00-04:00,61.845,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,59.715,57.79,63.565,2025-08-11T00:00:00-04:00,59.41,time stop loss,-0.1584,loss
KRE,PrevDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,59.96,58.78,62.32,2025-08-07T00:00:00-04:00,58.78,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,61.89,59.17,67.33,2025-08-19T00:00:00-04:00,61.82,time stop loss,-0.0257,loss
KRE,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,61.83,59.88,65.73,2025-08-20T00:00:00-04:00,62.03,time stop win,0.1026,win
KRE,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,64.57,61.475,70.76,2025-08-29T00:00:00-04:00,65.495,time stop win,0.2989,win
KRE,PrevDayBreakout_D1,2025-08-26T00:00:00-04:00,2025-08-27T00:00:00-04:00,64.89,64.4,65.87,2025-08-27T00:00:00-04:00,65.87,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,66.02,64.325,69.41,2025-09-02T00:00:00-04:00,64.325,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,66.34,64.49,70.04,2025-09-11T00:00:00-04:00,65.19,time stop loss,-0.6216,loss
KRE,PrevDayBreakout_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,64.69,62.985,68.1,2025-09-24T00:00:00-04:00,63.925,time stop loss,-0.4487,loss
KRE,PrevDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,66.07,63.81,70.59,2025-09-22T00:00:00-04:00,63.81,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,64.36,63.2,66.68,2025-09-29T00:00:00-04:00,63.2,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,64.13,62.31,67.77,2025-10-10T00:00:00-04:00,62.31,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,64.22,63.06,66.54,2025-10-09T00:00:00-04:00,63.06,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,63.645,60.61,69.715,2025-10-16T00:00:00-04:00,60.61,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,60.34,58.27,64.48,2025-10-27T00:00:00-04:00,61.18,time stop win,0.4058,win
KRE,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,61.66,59.75,65.48,2025-10-29T00:00:00-04:00,59.75,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,59.67,58.95,61.11,2025-11-10T00:00:00-05:00,61.11,TP hit,2.0,win
KRE,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,60.415,59.12,63.005,2025-11-12T00:00:00-05:00,61.545,time stop win,0.8726,win
KRE,PrevDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,61.29,59.82,64.23,2025-11-14T00:00:00-05:00,60.94,time stop loss,-0.2381,loss
KRE,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,61.365,59.72,64.655,2025-11-17T00:00:00-05:00,59.72,SL hit,-1.0,loss
KRE,PrevDayBreakout_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,60.44,58.22,64.88,2025-11-26T00:00:00-05:00,63.16,time stop win,1.2252,win
