symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MDY,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,592.83,587.31,603.87,2025-10-02T00:00:00-04:00,598.83,time stop win,1.087,win
MDY,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,595.99,593.35,601.27,2025-10-09T00:00:00-04:00,593.35,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,595.725,593.175,600.825,2025-10-10T00:00:00-04:00,593.175,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,584.92,577.42,599.92,2025-10-15T00:00:00-04:00,599.92,TP hit,2.0,win
MDY,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,586.35,585.3,588.45,2025-10-17T00:00:00-04:00,585.3,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,593.39,589.4,601.37,2025-10-24T00:00:00-04:00,601.37,TP hit,2.0,win
MDY,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,589.495,589.27,589.945,2025-10-31T00:00:00-04:00,589.27,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,571.11,568.26,576.81,2025-11-21T00:00:00-05:00,576.81,TP hit,2.0,win
MDY,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,604.67,600.37,613.27,2025-12-02T00:00:00-05:00,600.37,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,616.17,611.64,625.23,2025-12-15T00:00:00-05:00,611.64,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,610.26,605.08,620.62,2025-12-17T00:00:00-05:00,605.08,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,611.915,610.32,615.105,2025-12-30T00:00:00-05:00,610.32,SL hit,-1.0,loss
MDY,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,605.68,603.035,610.97,2026-01-02T00:00:00-05:00,610.97,TP hit,2.0,win
MDY,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,636.29,629.4,650.07,2026-01-27T00:00:00-05:00,635.69,time stop loss,-0.0871,loss
MDY,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,637.49,634.465,643.54,2026-01-26T00:00:00-05:00,634.465,SL hit,-1.0,loss
