symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MDY,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,591.37,584.8,604.51,2025-11-06T00:00:00-05:00,584.8,SL hit,-1.0,loss
MDY,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,595.895,581.995,623.695,2025-11-14T00:00:00-05:00,581.995,SL hit,-1.0,loss
MDY,PrevDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,595.505,594.2,598.115,2025-11-13T00:00:00-05:00,594.2,SL hit,-1.0,loss
MDY,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,588.18,570.91,622.72,2025-12-02T00:00:00-05:00,599.99,time stop win,0.6838,win
MDY,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,598.12,581.865,630.63,2025-12-03T00:00:00-05:00,604.17,time stop win,0.3722,win
MDY,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,604.12,588.18,636.0,2025-12-04T00:00:00-05:00,607.15,time stop win,0.1901,win
MDY,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,607.43,599.66,622.97,2025-12-11T00:00:00-05:00,620.96,time stop win,1.7413,win
MDY,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,615.62,602.775,641.31,2025-12-17T00:00:00-05:00,605.51,time stop loss,-0.7871,loss
MDY,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,622.2,604.785,657.03,2025-12-17T00:00:00-05:00,604.785,SL hit,-1.0,loss
MDY,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,615.88,606.56,634.52,2025-12-30T00:00:00-05:00,609.61,time stop loss,-0.6727,loss
MDY,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,613.36,603.035,634.01,2026-01-09T00:00:00-05:00,631.39,time stop win,1.7462,win
MDY,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,618.28,603.45,647.94,2026-01-12T00:00:00-05:00,632.39,time stop win,0.9514,win
MDY,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,628.02,613.36,657.34,2026-01-13T00:00:00-05:00,633.65,time stop win,0.384,win
MDY,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,627.23,621.715,638.26,2026-01-15T00:00:00-05:00,638.26,TP hit,2.0,win
MDY,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,633.63,626.48,647.93,2026-01-20T00:00:00-05:00,630.95,time stop loss,-0.3748,loss
MDY,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,634.155,627.12,648.225,2026-01-21T00:00:00-05:00,642.305,time stop win,1.1585,win
MDY,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,641.53,630.97,662.65,2026-01-20T00:00:00-05:00,630.97,SL hit,-1.0,loss
MDY,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,646.45,629.4,680.55,2026-01-28T00:00:00-05:00,634.155,time stop loss,-0.7211,loss
