symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SMH,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,337.41,324.845,362.54,2025-10-17T00:00:00-04:00,342.8,time stop win,0.429,win
SMH,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,342.07,330.4,365.41,2025-10-21T00:00:00-04:00,345.28,time stop win,0.2751,win
SMH,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,337.02,332.42,346.22,2025-10-24T00:00:00-04:00,346.22,TP hit,2.0,win
SMH,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,367.04,363.56,374.0,2025-10-31T00:00:00-04:00,363.56,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,367.94,360.59,382.64,2025-11-04T00:00:00-05:00,360.59,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,352.84,351.795,354.93,2025-11-05T00:00:00-05:00,354.93,TP hit,2.0,win
SMH,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,357.51,336.705,399.12,2025-11-14T00:00:00-05:00,336.705,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,356.32,349.81,369.34,2025-11-13T00:00:00-05:00,349.81,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,334.96,329.17,346.54,2025-11-20T00:00:00-05:00,329.17,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,324.615,323.73,326.385,2025-11-21T00:00:00-05:00,323.73,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,358.32,352.92,369.12,2025-12-15T00:00:00-05:00,352.92,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,352.63,348.38,361.13,2025-12-17T00:00:00-05:00,348.38,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,350.81,338.18,376.07,2025-12-24T00:00:00-05:00,364.3,time stop win,1.0681,win
SMH,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,365.16,361.01,373.46,2025-12-31T00:00:00-05:00,361.01,SL hit,-1.0,loss
SMH,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,368.835,360.1,386.305,2026-01-06T00:00:00-05:00,386.305,TP hit,2.0,win
SMH,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,382.275,375.99,394.845,2026-01-13T00:00:00-05:00,394.845,TP hit,2.0,win
SMH,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,401.63,383.98,436.93,2026-01-22T00:00:00-05:00,402.86,time stop win,0.0697,win
SMH,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,394.75,389.54,405.17,2026-01-21T00:00:00-05:00,405.17,TP hit,2.0,win
SMH,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,398.67,397.58,400.85,2026-01-26T00:00:00-05:00,397.58,SL hit,-1.0,loss
