symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SMH,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,355.4,336.705,392.79,2025-11-14T00:00:00-05:00,336.705,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,349.2,329.17,389.26,2025-11-20T00:00:00-05:00,329.17,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,334.8,315.16,374.08,2025-12-02T00:00:00-05:00,359.68,time stop win,1.2668,win
SMH,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,349.2,327.5,392.6,2025-12-04T00:00:00-05:00,361.5,time stop win,0.5668,win
SMH,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,349.06,343.58,360.02,2025-12-02T00:00:00-05:00,360.02,TP hit,2.0,win
SMH,PrevDayBreakout_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,355.635,347.71,371.485,2025-12-08T00:00:00-05:00,368.64,time stop win,1.641,win
SMH,PrevDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,359.795,348.165,383.055,2025-12-09T00:00:00-05:00,369.05,time stop win,0.7958,win
SMH,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,363.3,354.28,381.34,2025-12-10T00:00:00-05:00,374.18,time stop win,1.2062,win
SMH,PrevDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,367.84,359.68,384.16,2025-12-12T00:00:00-05:00,359.68,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,366.63,363.69,372.51,2025-12-10T00:00:00-05:00,372.51,TP hit,2.0,win
SMH,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,369.66,365.35,378.28,2025-12-11T00:00:00-05:00,365.35,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,362.41,345.86,395.51,2025-12-29T00:00:00-05:00,364.28,time stop win,0.113,win
SMH,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,358.635,351.095,373.715,2025-12-30T00:00:00-05:00,363.24,time stop win,0.6107,win
SMH,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,362.65,357.79,372.37,2025-12-31T00:00:00-05:00,360.19,time stop loss,-0.5062,loss
SMH,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,366.065,358.16,381.875,2026-01-02T00:00:00-05:00,373.33,time stop win,0.919,win
SMH,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,381.69,360.1,424.87,2026-01-09T00:00:00-05:00,389.32,time stop win,0.3534,win
SMH,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,382.395,368.835,409.515,2026-01-12T00:00:00-05:00,390.54,time stop win,0.6007,win
SMH,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,384.65,377.01,399.93,2026-01-08T00:00:00-05:00,377.01,SL hit,-1.0,loss
SMH,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,386.51,375.99,407.55,2026-01-16T00:00:00-05:00,400.44,time stop win,1.3241,win
SMH,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,402.68,383.98,440.08,2026-01-23T00:00:00-05:00,400.18,time stop loss,-0.1337,loss
SMH,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,408.29,389.54,445.79,2026-01-28T00:00:00-05:00,416.61,time stop win,0.4437,win
SMH,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,414.87,396.715,451.18,2026-01-30T00:00:00-05:00,403.33,time stop loss,-0.6356,loss
SMH,PrevDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,417.455,402.28,447.805,2026-01-30T00:00:00-05:00,402.28,SL hit,-1.0,loss
