symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPY,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,674.955,674.59,675.685,2025-11-05T00:00:00-05:00,674.59,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,660.78,655.91,670.52,2025-11-20T00:00:00-05:00,655.91,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,654.72,651.89,660.38,2025-11-21T00:00:00-05:00,651.89,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,681.82,678.74,687.98,2025-12-05T00:00:00-05:00,687.98,TP hit,2.0,win
SPY,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,683.11,681.59,686.15,2025-12-10T00:00:00-05:00,681.59,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,685.745,679.18,698.875,2025-12-16T00:00:00-05:00,679.18,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,679.77,675.01,689.29,2025-12-17T00:00:00-05:00,675.01,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,677.59,671.2,690.37,2025-12-24T00:00:00-05:00,690.37,TP hit,2.0,win
SPY,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,687.43,686.1,690.09,2025-12-31T00:00:00-05:00,686.1,SL hit,-1.0,loss
SPY,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,685.51,681.72,693.09,2026-01-02T00:00:00-05:00,681.72,SL hit,-1.0,loss
SPY,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,694.6,686.17,711.46,2026-01-20T00:00:00-05:00,686.17,SL hit,-1.0,loss
SPY,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,679.35,676.58,684.89,2026-01-21T00:00:00-05:00,684.89,TP hit,2.0,win
SPY,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,691.84,684.85,705.82,2026-01-30T00:00:00-05:00,691.8,time stop loss,-0.0057,loss
