symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPY,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,666.73,660.37,679.45,2025-09-24T00:00:00-04:00,660.37,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,664.375,654.42,684.285,2025-10-03T00:00:00-04:00,669.21,time stop win,0.4857,win
SPY,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,662.91,657.93,672.87,2025-10-06T00:00:00-04:00,671.585,time stop win,1.742,win
SPY,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,663.195,661.89,665.805,2025-10-01T00:00:00-04:00,665.805,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,670.455,661.625,688.115,2025-10-08T00:00:00-04:00,673.06,time stop win,0.295,win
SPY,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,673.52,667.695,685.17,2025-10-10T00:00:00-04:00,667.695,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,671.35,658.18,697.69,2025-10-27T00:00:00-04:00,685.215,time stop win,1.0528,win
SPY,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,682.72,667.88,712.4,2025-10-31T00:00:00-04:00,682.03,time stop loss,-0.0465,loss
SPY,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,687.04,675.68,709.76,2025-11-03T00:00:00-05:00,683.37,time stop loss,-0.3231,loss
SPY,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,688.72,682.115,701.93,2025-10-30T00:00:00-04:00,682.115,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,679.945,661.24,717.355,2025-11-17T00:00:00-05:00,665.72,time stop loss,-0.7605,loss
SPY,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,684.84,675.14,704.24,2025-11-13T00:00:00-05:00,675.14,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,668.625,650.86,704.155,2025-12-02T00:00:00-05:00,681.44,time stop win,0.7214,win
SPY,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,677.625,661.64,709.595,2025-12-03T00:00:00-05:00,683.81,time stop win,0.3869,win
SPY,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,680.88,664.52,713.6,2025-12-04T00:00:00-05:00,684.495,time stop win,0.221,win
SPY,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,678.825,676.81,682.855,2025-12-01T00:00:00-05:00,682.855,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,686.46,681.4,696.58,2025-12-10T00:00:00-05:00,681.4,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,685.14,682.62,690.18,2025-12-11T00:00:00-05:00,682.62,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,688.185,681.32,701.915,2025-12-12T00:00:00-05:00,681.32,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,683.895,676.475,698.735,2025-12-30T00:00:00-05:00,686.93,time stop win,0.409,win
SPY,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,687.92,682.715,698.33,2025-12-31T00:00:00-05:00,682.715,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,690.555,683.88,703.905,2025-12-31T00:00:00-05:00,683.88,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,687.92,679.88,704.0,2026-01-12T00:00:00-05:00,695.185,time stop win,0.9036,win
SPY,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,692.185,686.385,703.785,2026-01-13T00:00:00-05:00,693.71,time stop win,0.2629,win
SPY,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,690.68,687.495,697.05,2026-01-14T00:00:00-05:00,687.495,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,693.68,686.17,708.7,2026-01-20T00:00:00-05:00,686.17,SL hit,-1.0,loss
