symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPY,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,662.91,654.42,679.89,2025-10-06T00:00:00-04:00,671.585,time stop win,1.0218,win
SPY,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,663.195,657.93,673.725,2025-10-07T00:00:00-04:00,669.14,time stop win,1.1292,win
SPY,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,670.455,661.625,688.115,2025-10-08T00:00:00-04:00,673.06,time stop win,0.295,win
SPY,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,673.52,667.695,685.17,2025-10-10T00:00:00-04:00,667.695,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,671.35,657.18,699.69,2025-10-27T00:00:00-04:00,685.215,time stop win,0.9785,win
SPY,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,682.72,663.39,721.38,2025-10-31T00:00:00-04:00,682.03,time stop loss,-0.0357,loss
SPY,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,687.04,667.88,725.36,2025-11-03T00:00:00-05:00,683.37,time stop loss,-0.1915,loss
SPY,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,688.72,675.68,714.8,2025-11-04T00:00:00-05:00,675.68,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,679.945,661.24,717.355,2025-11-17T00:00:00-05:00,665.72,time stop loss,-0.7605,loss
SPY,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,684.84,661.24,732.04,2025-11-18T00:00:00-05:00,661.24,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,677.625,650.86,731.155,2025-12-03T00:00:00-05:00,683.81,time stop win,0.2311,win
SPY,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,680.88,661.64,719.36,2025-12-04T00:00:00-05:00,684.495,time stop win,0.1879,win
SPY,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,678.825,664.52,707.435,2025-12-05T00:00:00-05:00,685.62,time stop win,0.475,win
SPY,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,686.46,679.74,699.9,2025-12-12T00:00:00-05:00,679.74,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,685.14,681.59,692.24,2025-12-12T00:00:00-05:00,681.59,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,688.185,681.32,701.915,2025-12-12T00:00:00-05:00,681.32,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,683.895,674.91,701.865,2025-12-30T00:00:00-05:00,686.93,time stop win,0.3378,win
SPY,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,687.92,676.475,710.81,2025-12-31T00:00:00-05:00,681.82,time stop loss,-0.533,loss
SPY,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,690.555,682.715,706.235,2025-12-31T00:00:00-05:00,682.715,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,687.92,679.88,704.0,2026-01-12T00:00:00-05:00,695.185,time stop win,0.9036,win
SPY,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,692.185,679.88,716.795,2026-01-13T00:00:00-05:00,693.71,time stop win,0.1239,win
SPY,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,690.68,687.495,697.05,2026-01-14T00:00:00-05:00,687.495,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,688.1,676.58,711.14,2026-01-29T00:00:00-05:00,693.965,time stop win,0.5091,win
SPY,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,694.15,686.94,708.57,2026-01-29T00:00:00-05:00,686.94,SL hit,-1.0,loss
SPY,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,697.02,687.18,716.7,2026-01-29T00:00:00-05:00,687.18,SL hit,-1.0,loss
