symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VOO,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,609.7,606.66,615.78,2025-10-02T00:00:00-04:00,615.78,TP hit,2.0,win
VOO,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,616.18,608.49,631.56,2025-10-08T00:00:00-04:00,618.65,time stop win,0.3212,win
VOO,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,617.32,604.67,642.62,2025-10-27T00:00:00-04:00,630.02,time stop win,1.004,win
VOO,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,627.75,610.05,663.15,2025-10-31T00:00:00-04:00,627.24,time stop loss,-0.0288,loss
VOO,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,631.67,614.05,666.91,2025-11-03T00:00:00-05:00,628.07,time stop loss,-0.2043,loss
VOO,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,633.13,621.36,656.67,2025-11-04T00:00:00-05:00,621.36,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,625.18,607.93,659.68,2025-11-17T00:00:00-05:00,612.11,time stop loss,-0.7577,loss
VOO,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,629.73,607.93,673.33,2025-11-18T00:00:00-05:00,607.93,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,623.005,598.62,671.775,2025-12-03T00:00:00-05:00,628.74,time stop win,0.2352,win
VOO,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,626.06,608.34,661.5,2025-12-04T00:00:00-05:00,629.2,time stop win,0.1772,win
VOO,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,624.28,611.36,650.12,2025-12-05T00:00:00-05:00,630.745,time stop win,0.5004,win
VOO,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,630.18,624.265,642.01,2025-12-10T00:00:00-05:00,632.06,time stop win,0.3178,win
VOO,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,631.345,625.22,643.595,2025-12-12T00:00:00-05:00,625.22,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,629.99,626.9,636.17,2025-12-12T00:00:00-05:00,626.9,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,632.8,626.6,645.2,2025-12-12T00:00:00-05:00,626.6,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,628.975,617.16,652.605,2025-12-29T00:00:00-05:00,632.6,time stop win,0.3068,win
VOO,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,629.23,620.695,646.3,2025-12-30T00:00:00-05:00,631.69,time stop win,0.2882,win
VOO,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,632.645,623.89,650.155,2025-12-31T00:00:00-05:00,627.11,time stop loss,-0.6322,loss
VOO,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,635.19,627.98,649.61,2025-12-31T00:00:00-05:00,627.98,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,632.645,625.25,647.435,2026-01-12T00:00:00-05:00,639.29,time stop win,0.8986,win
VOO,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,636.6,625.25,659.3,2026-01-13T00:00:00-05:00,637.98,time stop win,0.1216,win
VOO,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,635.24,632.37,640.98,2026-01-14T00:00:00-05:00,632.37,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,632.825,622.255,653.965,2026-01-29T00:00:00-05:00,638.56,time stop win,0.5426,win
VOO,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,638.42,631.8,651.66,2026-01-29T00:00:00-05:00,631.8,SL hit,-1.0,loss
VOO,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,641.05,632.09,658.97,2026-01-29T00:00:00-05:00,632.09,SL hit,-1.0,loss
