symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VTI,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,331.61,331.41,332.01,2025-11-05T00:00:00-05:00,331.41,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,324.265,321.98,328.835,2025-11-20T00:00:00-05:00,321.98,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,321.26,319.94,323.9,2025-11-21T00:00:00-05:00,319.94,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,335.41,333.9,338.43,2025-12-05T00:00:00-05:00,338.43,TP hit,2.0,win
VTI,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,336.26,335.66,337.46,2025-12-09T00:00:00-05:00,337.46,TP hit,2.0,win
VTI,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,337.845,334.85,343.835,2025-12-15T00:00:00-05:00,334.85,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,334.995,332.48,340.025,2025-12-17T00:00:00-05:00,332.48,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,333.86,330.63,340.32,2025-12-24T00:00:00-05:00,339.84,time stop win,1.8514,win
VTI,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,338.31,337.65,339.63,2025-12-31T00:00:00-05:00,337.65,SL hit,-1.0,loss
VTI,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,337.15,335.22,341.01,2026-01-02T00:00:00-05:00,335.22,SL hit,-1.0,loss
VTI,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,343.05,338.93,351.29,2026-01-20T00:00:00-05:00,338.93,SL hit,-1.0,loss
VTI,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,336.33,334.69,339.61,2026-01-21T00:00:00-05:00,339.61,TP hit,2.0,win
VTI,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,340.895,337.75,347.185,2026-01-30T00:00:00-05:00,340.67,time stop loss,-0.0715,loss
