symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VTI,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,330.0,326.88,336.24,2025-09-24T00:00:00-04:00,326.88,SL hit,-1.0,loss
VTI,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,327.65,323.66,335.63,2025-10-03T00:00:00-04:00,329.88,time stop win,0.5589,win
VTI,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,326.81,326.33,327.77,2025-10-01T00:00:00-04:00,327.77,TP hit,2.0,win
VTI,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,330.155,325.9,338.665,2025-10-08T00:00:00-04:00,331.775,time stop win,0.3807,win
VTI,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,330.515,326.75,338.045,2025-10-09T00:00:00-04:00,330.65,time stop win,0.0359,win
VTI,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,330.83,324.3,343.89,2025-10-27T00:00:00-04:00,337.47,time stop win,1.0168,win
VTI,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,336.63,329.055,351.78,2025-10-31T00:00:00-04:00,335.45,time stop loss,-0.1558,loss
VTI,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,338.37,333.31,348.49,2025-11-03T00:00:00-05:00,335.71,time stop loss,-0.5257,loss
VTI,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,338.545,336.23,343.175,2025-10-29T00:00:00-04:00,336.23,SL hit,-1.0,loss
VTI,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,334.35,325.0,353.05,2025-11-17T00:00:00-05:00,325.0,SL hit,-1.0,loss
VTI,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,336.785,332.06,346.235,2025-11-13T00:00:00-05:00,332.06,SL hit,-1.0,loss
VTI,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,328.6,319.57,346.66,2025-12-02T00:00:00-05:00,335.2,time stop win,0.7309,win
VTI,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,333.285,324.94,349.975,2025-12-03T00:00:00-05:00,336.6,time stop win,0.3972,win
VTI,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,335.065,327.0,351.195,2025-12-04T00:00:00-05:00,336.975,time stop win,0.2368,win
VTI,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,333.95,333.115,335.62,2025-12-01T00:00:00-05:00,335.62,TP hit,2.0,win
