symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VTI,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,326.81,325.24,329.95,2025-10-02T00:00:00-04:00,329.95,TP hit,2.0,win
VTI,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,330.155,325.9,338.665,2025-10-08T00:00:00-04:00,331.775,time stop win,0.3807,win
VTI,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,330.515,325.9,339.745,2025-10-09T00:00:00-04:00,330.65,time stop win,0.0293,win
VTI,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,330.83,324.12,344.25,2025-10-27T00:00:00-04:00,337.47,time stop win,0.9896,win
VTI,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,336.63,326.75,356.39,2025-10-31T00:00:00-04:00,335.45,time stop loss,-0.1194,loss
VTI,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,338.37,329.055,357.0,2025-11-03T00:00:00-05:00,335.71,time stop loss,-0.2856,loss
VTI,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,338.545,333.31,349.015,2025-11-04T00:00:00-05:00,333.31,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,334.35,325.0,353.05,2025-11-17T00:00:00-05:00,325.0,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,336.785,325.0,360.355,2025-11-17T00:00:00-05:00,325.0,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,333.285,319.57,360.715,2025-12-03T00:00:00-05:00,336.6,time stop win,0.2417,win
VTI,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,335.065,324.94,355.315,2025-12-04T00:00:00-05:00,336.975,time stop win,0.1886,win
VTI,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,333.95,327.0,347.85,2025-12-05T00:00:00-05:00,337.66,time stop win,0.5338,win
VTI,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,337.205,333.9,343.815,2025-12-10T00:00:00-05:00,338.82,time stop win,0.4887,win
VTI,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,338.1,334.5,345.3,2025-12-12T00:00:00-05:00,335.94,time stop loss,-0.6,loss
VTI,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,337.79,335.66,342.05,2025-12-12T00:00:00-05:00,335.66,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,339.42,335.51,347.24,2025-12-12T00:00:00-05:00,335.51,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,336.935,330.63,349.545,2025-12-29T00:00:00-05:00,338.43,time stop win,0.2371,win
VTI,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,337.095,332.47,346.345,2025-12-30T00:00:00-05:00,337.82,time stop win,0.1568,win
VTI,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,338.775,334.265,347.795,2025-12-31T00:00:00-05:00,335.26,time stop loss,-0.7794,loss
VTI,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,340.09,336.63,347.01,2025-12-31T00:00:00-05:00,336.63,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,339.1,334.65,348.0,2026-01-12T00:00:00-05:00,343.0,time stop win,0.8764,win
VTI,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,341.425,334.65,354.975,2026-01-13T00:00:00-05:00,342.4,time stop win,0.1439,win
VTI,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,340.785,339.1,344.155,2026-01-14T00:00:00-05:00,339.1,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,343.26,339.1,351.58,2026-01-14T00:00:00-05:00,339.1,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,340.615,334.69,352.465,2026-01-29T00:00:00-05:00,342.31,time stop win,0.2861,win
VTI,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,342.83,339.935,348.62,2026-01-29T00:00:00-05:00,339.935,SL hit,-1.0,loss
VTI,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,344.29,339.935,353.0,2026-01-29T00:00:00-05:00,339.935,SL hit,-1.0,loss
