symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VTV,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,192.855,191.68,195.205,2025-12-31T00:00:00-05:00,191.68,SL hit,-1.0,loss
VTV,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,193.245,190.975,197.785,2026-01-09T00:00:00-05:00,196.81,time stop win,1.5705,win
VTV,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,194.685,190.55,202.955,2026-01-12T00:00:00-05:00,196.88,time stop win,0.5308,win
VTV,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,196.285,193.245,202.365,2026-01-13T00:00:00-05:00,196.575,time stop win,0.0954,win
VTV,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,196.075,194.0,200.225,2026-01-16T00:00:00-05:00,198.355,time stop win,1.0988,win
VTV,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,198.225,196.015,202.645,2026-01-20T00:00:00-05:00,196.015,SL hit,-1.0,loss
VTV,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,198.47,196.48,202.45,2026-01-20T00:00:00-05:00,196.48,SL hit,-1.0,loss
VTV,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,198.96,195.375,206.13,2026-01-28T00:00:00-05:00,198.28,time stop loss,-0.1897,loss
VTV,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,197.9,196.87,199.96,2026-01-29T00:00:00-05:00,199.96,TP hit,2.0,win
VTV,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,199.195,197.82,201.945,2026-01-30T00:00:00-05:00,199.79,time stop win,0.4327,win
