symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VUG,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,483.68,477.29,496.46,2025-09-24T00:00:00-04:00,477.29,SL hit,-1.0,loss
VUG,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,478.32,470.43,494.1,2025-10-03T00:00:00-04:00,481.3,time stop win,0.3777,win
VUG,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,477.24,473.43,484.86,2025-10-06T00:00:00-04:00,484.86,TP hit,2.0,win
VUG,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,484.34,476.29,500.44,2025-10-08T00:00:00-04:00,487.0,time stop win,0.3304,win
VUG,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,484.13,477.03,498.33,2025-10-09T00:00:00-04:00,486.085,time stop win,0.2754,win
VUG,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,485.57,479.84,497.03,2025-10-10T00:00:00-04:00,479.84,SL hit,-1.0,loss
VUG,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,487.03,481.14,498.81,2025-10-10T00:00:00-04:00,481.14,SL hit,-1.0,loss
VUG,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,484.425,473.04,507.195,2025-10-27T00:00:00-04:00,498.36,time stop win,1.224,win
VUG,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,495.74,480.985,525.25,2025-10-31T00:00:00-04:00,499.3,time stop win,0.2413,win
VUG,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,501.445,488.595,527.145,2025-11-03T00:00:00-05:00,501.525,time stop win,0.0062,win
VUG,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,504.655,495.61,522.745,2025-11-04T00:00:00-05:00,495.61,SL hit,-1.0,loss
