symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XAR,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,236.69,227.825,254.42,2025-11-14T00:00:00-05:00,227.825,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,225.72,217.905,241.35,2025-12-02T00:00:00-05:00,226.065,time stop win,0.0441,win
XAR,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,229.68,223.34,242.36,2025-12-03T00:00:00-05:00,228.07,time stop loss,-0.2539,loss
XAR,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,230.31,225.72,239.49,2025-12-01T00:00:00-05:00,225.72,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,233.26,226.065,247.65,2025-12-10T00:00:00-05:00,233.62,time stop win,0.05,win
XAR,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,230.77,225.51,241.29,2025-12-11T00:00:00-05:00,238.92,time stop win,1.5494,win
XAR,PrevDayBreakout_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,233.02,228.83,241.4,2025-12-15T00:00:00-05:00,234.075,time stop win,0.2518,win
XAR,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,238.92,233.02,250.72,2025-12-16T00:00:00-05:00,233.02,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,238.24,229.7,255.32,2025-12-17T00:00:00-05:00,229.7,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,236.95,228.4,254.05,2025-12-26T00:00:00-05:00,246.86,time stop win,1.1591,win
XAR,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,244.27,232.93,266.95,2025-12-29T00:00:00-05:00,244.71,time stop win,0.0388,win
XAR,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,248.09,236.95,270.37,2025-12-30T00:00:00-05:00,242.91,time stop loss,-0.465,loss
XAR,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,249.965,244.27,261.355,2025-12-30T00:00:00-05:00,244.27,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,248.475,248.09,249.245,2025-12-26T00:00:00-05:00,248.09,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,253.5,240.75,279.0,2026-01-09T00:00:00-05:00,276.59,time stop win,1.811,win
XAR,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,260.815,246.015,290.415,2026-01-12T00:00:00-05:00,281.15,time stop win,1.374,win
XAR,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,266.005,253.5,291.015,2026-01-13T00:00:00-05:00,281.54,time stop win,1.2423,win
XAR,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,271.745,262.5,290.235,2026-01-15T00:00:00-05:00,289.38,time stop win,1.9075,win
XAR,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,278.225,268.35,297.975,2026-01-16T00:00:00-05:00,293.02,time stop win,1.4982,win
XAR,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,284.44,271.745,309.83,2026-01-20T00:00:00-05:00,284.28,time stop loss,-0.0126,loss
XAR,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,281.045,278.21,286.715,2026-01-14T00:00:00-05:00,278.21,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,291.12,278.07,317.22,2026-01-23T00:00:00-05:00,282.96,time stop loss,-0.6253,loss
XAR,PrevDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,290.765,284.6,303.095,2026-01-20T00:00:00-05:00,284.6,SL hit,-1.0,loss
XAR,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,284.12,279.265,293.83,2026-01-29T00:00:00-05:00,279.265,SL hit,-1.0,loss
