symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XBI,MeanReversion_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,108.28,107.895,109.05,2025-11-04T00:00:00-05:00,109.05,TP hit,2.0,win
XBI,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,118.86,117.73,121.12,2025-12-03T00:00:00-05:00,121.12,TP hit,2.0,win
XBI,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,121.35,121.13,121.79,2025-12-10T00:00:00-05:00,121.13,SL hit,-1.0,loss
XBI,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,122.06,120.98,124.22,2025-12-17T00:00:00-05:00,120.98,SL hit,-1.0,loss
XBI,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,121.105,120.82,121.675,2025-12-18T00:00:00-05:00,120.82,SL hit,-1.0,loss
XBI,MeanReversion_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,120.88,119.6,123.44,2025-12-19T00:00:00-05:00,123.44,TP hit,2.0,win
XBI,MeanReversion_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,124.205,124.2,124.215,2025-12-29T00:00:00-05:00,124.2,SL hit,-1.0,loss
XBI,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,123.145,123.095,123.245,2025-12-30T00:00:00-05:00,123.095,SL hit,-1.0,loss
XBI,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,121.39,121.355,121.46,2025-12-31T00:00:00-05:00,121.355,SL hit,-1.0,loss
XBI,MeanReversion_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,119.84,118.315,122.89,2026-01-07T00:00:00-05:00,122.89,TP hit,2.0,win
XBI,MeanReversion_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,123.39,121.6,126.97,2026-01-15T00:00:00-05:00,126.97,TP hit,2.0,win
XBI,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,125.92,125.8,126.16,2026-01-29T00:00:00-05:00,125.8,SL hit,-1.0,loss
