symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XBI,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,97.02,95.365,100.33,2025-09-29T00:00:00-04:00,99.4,time stop win,1.4381,win
XBI,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,98.265,95.745,103.305,2025-10-03T00:00:00-04:00,103.305,TP hit,2.0,win
XBI,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,99.42,95.87,106.52,2025-10-06T00:00:00-04:00,103.64,time stop win,1.1887,win
XBI,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,100.295,98.02,104.845,2025-10-07T00:00:00-04:00,103.705,time stop win,1.4989,win
XBI,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,101.77,98.91,107.49,2025-10-08T00:00:00-04:00,105.46,time stop win,1.2902,win
XBI,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,103.045,100.255,108.625,2025-10-09T00:00:00-04:00,106.54,time stop win,1.2527,win
XBI,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,104.145,101.02,110.395,2025-10-10T00:00:00-04:00,104.96,time stop win,0.2608,win
XBI,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,105.82,102.56,112.34,2025-10-15T00:00:00-04:00,108.375,time stop win,0.7837,win
XBI,PrevDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,107.005,103.8,113.415,2025-10-14T00:00:00-04:00,103.8,SL hit,-1.0,loss
XBI,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,109.76,103.44,122.4,2025-10-22T00:00:00-04:00,107.26,time stop loss,-0.3956,loss
XBI,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,110.09,106.5,117.27,2025-10-23T00:00:00-04:00,106.5,SL hit,-1.0,loss
XBI,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,110.02,106.5,117.06,2025-10-31T00:00:00-04:00,112.71,time stop win,0.7642,win
XBI,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,111.41,108.08,118.07,2025-11-03T00:00:00-05:00,108.08,SL hit,-1.0,loss
XBI,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,111.85,109.94,115.67,2025-11-03T00:00:00-05:00,109.94,SL hit,-1.0,loss
XBI,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,109.83,106.31,116.87,2025-11-17T00:00:00-05:00,114.81,time stop win,1.4148,win
XBI,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,113.655,109.285,122.395,2025-11-18T00:00:00-05:00,115.18,time stop win,0.349,win
XBI,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,119.84,113.63,132.26,2025-12-02T00:00:00-05:00,118.455,time stop loss,-0.223,loss
XBI,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,121.475,117.13,130.165,2025-12-03T00:00:00-05:00,121.83,time stop win,0.0817,win
XBI,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,123.105,119.58,130.155,2025-12-02T00:00:00-05:00,119.58,SL hit,-1.0,loss
XBI,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,121.295,117.73,128.425,2025-12-10T00:00:00-05:00,122.035,time stop win,0.2076,win
