symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XHB,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,111.695,110.57,113.945,2025-09-25T00:00:00-04:00,110.57,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,109.74,109.07,111.08,2025-10-01T00:00:00-04:00,111.08,TP hit,2.0,win
XHB,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,106.95,106.76,107.33,2025-10-08T00:00:00-04:00,106.76,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,106.095,105.22,107.845,2025-10-10T00:00:00-04:00,105.22,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,104.51,103.53,106.47,2025-10-14T00:00:00-04:00,106.47,TP hit,2.0,win
XHB,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,106.715,106.25,107.645,2025-10-17T00:00:00-04:00,107.645,TP hit,2.0,win
XHB,MeanReversion_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,107.11,107.105,107.12,2025-10-29T00:00:00-04:00,107.105,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,104.69,104.65,104.77,2025-10-30T00:00:00-04:00,104.65,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,104.73,104.53,105.13,2025-10-31T00:00:00-04:00,104.53,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,100.43,98.71,103.87,2025-11-21T00:00:00-05:00,103.87,TP hit,2.0,win
XHB,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,100.43,99.25,102.79,2025-11-21T00:00:00-05:00,102.79,TP hit,2.0,win
XHB,MeanReversion_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,107.61,107.47,107.89,2025-12-05T00:00:00-05:00,107.47,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,105.18,104.51,106.52,2025-12-10T00:00:00-05:00,106.52,TP hit,2.0,win
XHB,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,108.64,107.38,111.16,2025-12-15T00:00:00-05:00,107.38,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,107.075,105.1,111.025,2025-12-19T00:00:00-05:00,105.1,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,104.995,104.325,106.335,2025-12-22T00:00:00-05:00,104.325,SL hit,-1.0,loss
XHB,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,103.97,103.52,104.87,2025-12-24T00:00:00-05:00,104.87,TP hit,2.0,win
XHB,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,103.415,102.95,104.345,2026-01-02T00:00:00-05:00,102.95,SL hit,-1.0,loss
XHB,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,112.75,111.84,114.57,2026-01-21T00:00:00-05:00,114.57,TP hit,2.0,win
XHB,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,111.89,111.2,113.27,2026-01-26T00:00:00-05:00,111.2,SL hit,-1.0,loss
XHB,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,110.025,109.79,110.495,2026-01-28T00:00:00-05:00,109.79,SL hit,-1.0,loss
XHB,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,110.33,109.355,112.28,2026-01-29T00:00:00-05:00,109.355,SL hit,-1.0,loss
