symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XHB,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,111.36,109.49,115.1,2025-10-07T00:00:00-04:00,109.49,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,112.18,110.52,115.5,2025-10-06T00:00:00-04:00,110.52,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,108.275,103.91,117.005,2025-10-21T00:00:00-04:00,110.31,time stop win,0.4662,win
XHB,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,107.52,106.64,109.28,2025-10-21T00:00:00-04:00,109.28,TP hit,2.0,win
XHB,PrevDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,109.81,108.045,113.34,2025-10-22T00:00:00-04:00,108.045,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,105.03,102.15,110.79,2025-11-12T00:00:00-05:00,106.02,time stop win,0.3437,win
XHB,PrevDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,105.65,104.08,108.79,2025-11-13T00:00:00-05:00,104.08,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,106.375,104.2,110.725,2025-11-13T00:00:00-05:00,104.2,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,106.35,104.565,109.92,2025-11-13T00:00:00-05:00,104.565,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,103.63,99.25,112.39,2025-12-01T00:00:00-05:00,108.58,time stop win,1.1301,win
XHB,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,107.17,102.99,115.53,2025-12-03T00:00:00-05:00,109.595,time stop win,0.5801,win
XHB,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,109.33,104.455,119.08,2025-12-04T00:00:00-05:00,107.67,time stop loss,-0.3405,loss
XHB,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,109.37,107.59,112.93,2025-12-04T00:00:00-05:00,107.59,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,109.11,104.51,118.31,2025-12-17T00:00:00-05:00,105.6,time stop loss,-0.763,loss
XHB,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,109.48,105.145,118.15,2025-12-17T00:00:00-05:00,105.145,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,104.74,103.52,107.18,2025-12-31T00:00:00-05:00,103.52,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,105.05,103.97,107.21,2025-12-30T00:00:00-05:00,103.97,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,104.225,102.95,106.775,2026-01-06T00:00:00-05:00,102.95,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,103.76,102.76,105.76,2026-01-06T00:00:00-05:00,102.76,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,109.365,103.6,120.895,2026-01-15T00:00:00-05:00,115.415,time stop win,1.0494,win
XHB,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,112.455,103.39,130.585,2026-01-16T00:00:00-05:00,114.54,time stop win,0.23,win
XHB,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,113.645,109.315,122.305,2026-01-20T00:00:00-05:00,111.93,time stop loss,-0.3961,loss
XHB,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,114.29,112.04,118.79,2026-01-20T00:00:00-05:00,112.04,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,115.645,112.68,121.575,2026-01-20T00:00:00-05:00,112.68,SL hit,-1.0,loss
XHB,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,115.63,111.84,123.21,2026-01-23T00:00:00-05:00,111.84,SL hit,-1.0,loss
