symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XHB,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,105.65,103.21,110.53,2025-11-14T00:00:00-05:00,103.21,SL hit,-1.0,loss
XHB,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,106.375,104.08,110.965,2025-11-13T00:00:00-05:00,104.08,SL hit,-1.0,loss
XHB,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,106.35,104.2,110.65,2025-11-13T00:00:00-05:00,104.2,SL hit,-1.0,loss
XHB,TwoDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,103.63,99.25,112.39,2025-12-01T00:00:00-05:00,108.58,time stop win,1.1301,win
XHB,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,107.17,100.295,120.92,2025-12-03T00:00:00-05:00,109.595,time stop win,0.3527,win
XHB,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,109.33,102.99,122.01,2025-12-04T00:00:00-05:00,107.67,time stop loss,-0.2618,loss
XHB,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,109.11,104.51,118.31,2025-12-17T00:00:00-05:00,105.6,time stop loss,-0.763,loss
XHB,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,109.48,104.51,119.42,2025-12-18T00:00:00-05:00,106.355,time stop loss,-0.6288,loss
XHB,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,105.05,103.52,108.11,2025-12-31T00:00:00-05:00,103.52,SL hit,-1.0,loss
XHB,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,103.76,102.76,105.76,2026-01-06T00:00:00-05:00,102.76,SL hit,-1.0,loss
XHB,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,109.365,102.745,122.605,2026-01-15T00:00:00-05:00,115.415,time stop win,0.9139,win
XHB,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,112.455,103.39,130.585,2026-01-16T00:00:00-05:00,114.54,time stop win,0.23,win
XHB,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,113.645,103.39,134.155,2026-01-20T00:00:00-05:00,111.93,time stop loss,-0.1672,loss
XHB,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,114.29,109.315,124.24,2026-01-21T00:00:00-05:00,114.85,time stop win,0.1126,win
XHB,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,115.645,112.68,121.575,2026-01-20T00:00:00-05:00,112.68,SL hit,-1.0,loss
