symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLB,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,90.57,89.95,91.81,2025-09-24T00:00:00-04:00,89.95,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,88.0,87.71,88.58,2025-09-26T00:00:00-04:00,88.58,TP hit,2.0,win
XLB,MeanReversion_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,88.605,88.47,88.875,2025-10-02T00:00:00-04:00,88.875,TP hit,2.0,win
XLB,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,89.77,89.105,91.1,2025-10-09T00:00:00-04:00,89.105,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,88.79,88.45,89.47,2025-10-10T00:00:00-04:00,88.45,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,87.99,86.85,90.27,2025-10-17T00:00:00-04:00,87.87,time stop loss,-0.1053,loss
XLB,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,87.895,87.61,88.465,2025-10-17T00:00:00-04:00,87.61,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,85.63,85.06,86.77,2025-11-03T00:00:00-05:00,85.06,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-11-06T00:00:00-05:00,2025-11-07T00:00:00-05:00,84.785,84.745,84.865,2025-11-07T00:00:00-05:00,84.745,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,85.57,85.34,86.03,2025-11-18T00:00:00-05:00,85.34,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,84.735,84.425,85.355,2025-11-21T00:00:00-05:00,85.355,TP hit,2.0,win
XLB,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,88.74,87.865,90.49,2025-12-05T00:00:00-05:00,87.865,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,43.385,43.37,43.415,2025-12-10T00:00:00-05:00,43.415,TP hit,2.0,win
XLB,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,45.81,45.535,46.36,2025-12-31T00:00:00-05:00,45.535,SL hit,-1.0,loss
XLB,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,45.47,45.33,45.75,2026-01-02T00:00:00-05:00,45.33,SL hit,-1.0,loss
XLB,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,48.74,48.025,50.17,2026-01-26T00:00:00-05:00,50.17,TP hit,2.0,win
XLB,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,50.16,49.69,51.1,2026-01-28T00:00:00-05:00,49.69,SL hit,-1.0,loss
