symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLE,MeanReversion_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,90.5,90.125,91.25,2025-11-13T00:00:00-05:00,90.125,SL hit,-1.0,loss
XLE,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,90.71,89.705,92.72,2025-12-05T00:00:00-05:00,89.705,SL hit,-1.0,loss
XLE,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,45.51,45.28,45.97,2025-12-09T00:00:00-05:00,45.97,TP hit,2.0,win
XLE,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,45.555,45.395,45.875,2025-12-15T00:00:00-05:00,45.395,SL hit,-1.0,loss
XLE,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,44.13,43.775,44.84,2025-12-17T00:00:00-05:00,44.84,TP hit,2.0,win
XLE,MeanReversion_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,44.485,43.995,45.465,2026-01-02T00:00:00-05:00,45.465,TP hit,2.0,win
XLE,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,44.72,44.575,45.01,2026-01-02T00:00:00-05:00,44.575,SL hit,-1.0,loss
XLE,MeanReversion_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,45.785,45.54,46.275,2026-01-07T00:00:00-05:00,45.54,SL hit,-1.0,loss
XLE,MeanReversion_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,45.275,45.085,45.655,2026-01-08T00:00:00-05:00,45.655,TP hit,2.0,win
XLE,MeanReversion_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,46.71,46.105,47.92,2026-01-14T00:00:00-05:00,47.92,TP hit,2.0,win
